Metabolite	Dilution	Concentration	ChromIntensities	OwnBorderIntensities
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.02	-99.0	-99.0	-99.0
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.05	14540.16721	61093.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.1	29080.33442	169596.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.2	58160.66884	331834.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.5	145401.6721	916261.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	1	290803.3442	1920391.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.005	2230.9477065	935035.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.01	4461.895413	615823.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.02	8923.790826	901925.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.05	22309.477065	532197.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.1	44618.95413	835813.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.2	89237.90826	1161567.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.5	223094.77065	1771481.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	1	446189.5413	3332316.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.005	-99.0	-99.0	-99.0
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.01	-99.0	-99.0	-99.0
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.02	853.6064874000001	3356.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.05	2134.0162185000004	17124.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.1	4268.032437000001	22540.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.2	8536.064874000002	45289.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.5	21340.162185	100009.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	1	42680.32437	178378.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.01	112.2460433	195610.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.02	224.4920866	169026.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.05	561.2302165	209416.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.1	1122.460433	300347.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.2	2244.920866	526155.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.5	5612.302165	1268864.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	1	11224.60433	2891751.0	NaN
