Metabolite	Dilution	Concentration	ChromIntensities	OwnBorderIntensities
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.01	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.02	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.05	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.1	6660.450246	31176.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.2	13320.900492	80517.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.5	33302.25123	145202.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	1	66604.50246	302354.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.02	1829.6866662	30280.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.05	4574.2166655	67602.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.1	9148.433331	106485.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.2	18296.866662	252617.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.5	45742.166655	497646.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	1	91484.33331	1093242.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.005	213.40162185000003	25563.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.01	426.80324370000005	28581.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.02	853.6064874000001	29921.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.05	2134.0162185000004	71914.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.1	4268.032437000001	234953.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.2	8536.064874000002	451535.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.5	21340.162185	1128059.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	1	42680.32437	2466257.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.02	1829.6866662	199029.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.05	4574.2166655	202264.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.1	9148.433331	208191.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.2	18296.866662	310905.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.5	45742.166655	692904.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	1	91484.33331	1573479.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.005	134.9819124	279182.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.01	269.9638248	156996.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.02	539.9276496	209249.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.05	1349.819124	132406.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.1	2699.638248	314888.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.2	5399.276496	201229.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.5	13498.19124	231497.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	1	26996.38248	272120.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.05	-99.0	-99.0	-99.0
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.1	16789.791810000002	104757.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.2	33579.583620000005	180796.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.5	83948.95905	467662.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	1	167897.9181	794561.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.02	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.05	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.1	6080.0833840000005	43359.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.2	12160.166768000001	127333.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.5	30400.41692	400538.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	1	60800.83384	1097253.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.005	333.0225123	51794.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.01	666.0450246	82848.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.02	1332.0900492	169866.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.05	3330.225123	302827.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.1	6660.450246	768008.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.2	13320.900492	1383614.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.5	33302.25123	3379207.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	1	66604.50246	7790381.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.02	-99.0	-99.0	-99.0
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.05	2117.0293845	14701.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.1	4234.058769	42880.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.2	8468.117538	102249.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.5	21170.293845	367933.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	1	42340.58769	920991.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.02	-99.0	-99.0	-99.0
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.05	2173.9130435	44414.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.1	-99.0	-99.0	-99.0
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.2	8695.652174	34846.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.5	21739.130435	48708.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	1	43478.26087	117438.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.005	133.82103665	1914495.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.01	267.6420733	1666342.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.02	535.2841466	1425295.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.05	1338.2103665000002	1142431.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.1	-99.0	-99.0	-99.0
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.2	5352.841466000001	644123.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.5	13382.103665	1163450.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	1	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.01	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.02	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.05	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.1	3446.1962610000005	56846.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.2	6892.392522000001	118263.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.5	17230.981305	516294.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	1	34461.96261	1561462.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.02	-99.0	-99.0	-99.0
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.05	-99.0	-99.0	-99.0
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.1	-99.0	-99.0	-99.0
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.2	2244.920866	78698.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.5	5612.302165	112102.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	1	11224.60433	213313.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.05	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.1	11418.783900000002	63225.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.2	22837.567800000004	116710.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.5	57093.9195	405916.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	1	114187.839	1193174.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.05	8394.895905000001	58418.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.1	16789.791810000002	118118.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.2	33579.583620000005	347002.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.5	83948.95905	840712.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	1	167897.9181	2686751.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.02	-99.0	-99.0	-99.0
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.05	-99.0	-99.0	-99.0
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.1	3422.3134840000002	39312.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.2	6844.6269680000005	109104.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.5	17111.56742	346756.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	1	34223.13484	979514.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.02	134.0392735	41020.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.05	335.09818375000003	55328.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.1	670.1963675000001	167071.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.2	1340.3927350000001	260703.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.5	3350.9818375	456449.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	1	6701.963675	511472.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.01	112.2460433	39965.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.02	224.4920866	82642.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.05	561.2302165	192311.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.1	1122.460433	440291.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.2	2244.920866	853480.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.5	5612.302165	2034460.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	1	11224.60433	4768543.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.005	-99.0	-99.0	-99.0
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.01	-99.0	-99.0	-99.0
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.02	-99.0	-99.0	-99.0
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.05	-99.0	-99.0	-99.0
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.1	4474.606608	15372.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.2	8949.213216	58064.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.5	22373.03304	341852.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	1	44746.06608	1142668.0	NaN
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.05	-99.0	-99.0	-99.0
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.1	670.1963675000001	30937.0	NaN
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.2	1340.3927350000001	78696.0	NaN
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.5	3350.9818375	344576.0	NaN
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	1	6701.963675	1224863.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.005	464.68401485000004	144966.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.01	929.3680297000001	185903.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.02	1858.7360594000002	147757.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.05	4646.8401485	213589.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.1	9293.680297	382164.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.2	18587.360594	644397.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.5	46468.401485	1444444.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	1	92936.80297	3383092.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.005	48.48719938	15877.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.01	96.97439876	31458.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.02	193.94879752	76644.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.05	484.87199380000004	134906.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.1	969.7439876000001	311638.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.2	1939.4879752000002	558742.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.5	4848.719938	1343975.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	1	9697.439876	3303635.0	NaN
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.01	1359.3420780000001	8262.0	NaN
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.02	-99.0	-99.0	-99.0
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.05	-99.0	-99.0	-99.0
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.1	-99.0	-99.0	-99.0
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.2	27186.84156	17348.0	NaN
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.5	67967.1039	34350.0	NaN
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	1	135934.2078	74169.0	NaN
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.02	-99.0	-99.0	-99.0
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.05	-99.0	-99.0	-99.0
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.1	4420.084866	57694.0	NaN
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.2	8840.169732	118604.0	NaN
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.5	22100.42433	299681.0	NaN
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	1	44200.84866	904456.0	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.005	242.1454083	28155.0	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.01	484.2908166	57909.0	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.02	968.5816332	75537.0	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.05	2421.454083	127183.0	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.1	4842.908166	258080.0	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.2	9685.816332	467906.0	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.5	24214.54083	1000940.0	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	1	48429.08166	1842025.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:1572_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:1572_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:1572_IDENT:A+D	0.02	149.10907328	48970.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:1572_IDENT:A+D	0.05	372.7726832	88078.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:1572_IDENT:A+D	0.1	745.5453664	190722.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:1572_IDENT:A+D	0.2	1491.0907328	334594.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:1572_IDENT:A+D	0.5	3727.726832	772402.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:1572_IDENT:A+D	1	7455.453664	1599791.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:1574_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:1574_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:1574_IDENT:A+D	0.02	-99.0	-99.0	-99.0
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:1574_IDENT:A+D	0.05	372.7726832	86455.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:1574_IDENT:A+D	0.1	745.5453664	183831.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:1574_IDENT:A+D	0.2	1491.0907328	327902.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:1574_IDENT:A+D	0.5	3727.726832	749840.0	NaN
Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:1574_IDENT:A+D	1	7455.453664	1551771.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.005	91.61704075	39433.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.01	183.2340815	60667.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.02	366.468163	111968.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.05	916.1704075	239218.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.1	1832.340815	533624.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.2	3664.68163	972694.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.5	9161.704075	1922364.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	1	18323.40815	4134797.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.005	45.004500449999995	22354.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.01	90.00900089999999	25338.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.02	180.01800179999998	25721.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.05	450.0450045	21037.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.1	900.090009	13252.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.2	1800.180018	29761.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.5	4500.450045	51097.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	1	9000.90009	208096.0	NaN
Phenylalanine_(2TMS)_MP_RI:1625_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Phenylalanine_(2TMS)_MP_RI:1625_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Phenylalanine_(2TMS)_MP_RI:1625_IDENT:B+C	0.02	-99.0	-99.0	-99.0
Phenylalanine_(2TMS)_MP_RI:1625_IDENT:B+C	0.05	-99.0	-99.0	-99.0
