Metabolite	Dilution	Concentration	ChromIntensities	OwnBorderIntensities
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.02	5816.066884	53089.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.05	14540.16721	64334.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.1	29080.33442	201843.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.2	58160.66884	498550.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.5	145401.6721	1056059.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	1	290803.3442	2387001.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.005	2230.9477065	856086.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.01	4461.895413	943711.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.02	8923.790826	694792.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.05	22309.477065	817493.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.1	44618.95413	987258.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.2	89237.90826	1817389.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.5	223094.77065	2381052.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	1	446189.5413	4512789.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.005	-99.0	-99.0	-99.0
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.01	-99.0	-99.0	-99.0
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.02	853.6064874000001	6472.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.05	2134.0162185000004	18199.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.1	4268.032437000001	54403.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.2	8536.064874000002	80870.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.5	21340.162185	146435.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	1	42680.32437	253882.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.02	224.4920866	196868.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.05	561.2302165	234977.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.1	1122.460433	500463.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.2	2244.920866	619974.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.5	5612.302165	1287312.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	1	11224.60433	3108230.0	NaN
