"Metabolite","QuantMasses","e10222ch_100_c5.cdf","e10222ch_101_c6.cdf","e10222ch_102_c7.cdf","e10222ch_22_c1.cdf","e10222ch_23_c2.cdf","e10222ch_24_c3.cdf","e10222ch_25_c4.cdf","e10222ch_26_c5.cdf","e10222ch_27_c6.cdf","e10222ch_28_c7.cdf","e10222ch_59_c1.cdf","e10222ch_60_c2.cdf","e10222ch_61_c3.cdf","e10222ch_62_c4.cdf","e10222ch_63_c5.cdf","e10222ch_64_c6.cdf","e10222ch_65_c7.cdf","e10222ch_96_c1.cdf","e10222ch_97_c2.cdf","e10222ch_98_c3.cdf","e10222ch_99_c4.cdf","e10223ch_15_c8.cdf","e10223ch_16_c9.cdf","e10223ch_17_c10.cdf","e10223ch_18_c11.cdf","e10223ch_19_c12.cdf","e10223ch_20_c13.cdf","e10223ch_21_c14.cdf","e10223ch_52_c8.cdf","e10223ch_53_c9.cdf","e10223ch_54_c10.cdf","e10223ch_55_c11.cdf","e10223ch_56_c12.cdf","e10223ch_57_c13.cdf","e10223ch_58_c14.cdf","e10223ch_89_c8.cdf","e10223ch_90_c9.cdf","e10223ch_91_c10.cdf","e10223ch_92_c11.cdf","e10223ch_93_c12.cdf","e10223ch_94_c13.cdf","e10223ch_95_c14.cdf","e10224ch_104_c15.cdf","e10224ch_105_c16.cdf","e10224ch_106_c17.cdf","e10224ch_107_c18.cdf","e10224ch_108_c19.cdf","e10224ch_109_c20.cdf","e10224ch_110_c21.cdf","e10224ch_14_c15.cdf","e10224ch_15_c16.cdf","e10224ch_16_c17.cdf","e10224ch_17_c18.cdf","e10224ch_18_c19.cdf","e10224ch_19_c20.cdf","e10224ch_20_c21.cdf","e10224ch_51_c15.cdf","e10224ch_52_c16.cdf","e10224ch_53_c17.cdf","e10224ch_54_c18.cdf","e10224ch_55_c19.cdf","e10224ch_56_c20.cdf","e10224ch_57_c21.cdf","e10224ch_88_c15.cdf","e10224ch_89_c16.cdf","e10224ch_90_c17.cdf","e10224ch_91_c18.cdf","e10224ch_92_c19.cdf","e10224ch_93_c20.cdf","e10224ch_94_c21.cdf"
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C","86.0 176.0 103.0 104.0 102.0 276.0 277.0 ",2908002,4100243,5636300,2520561,2318515,3586850,3994612,2693974,3585667,4175015,2305175,2049001,3115095,4034661,2942920,2906919,4743619,3230074,3055322,6589766,4815606,2689961,5462701,3919377,3981495,4467590,4482357,5158584,2426162,3459346,5534345,3695395,4014356,4602485,4854846,2919747,5624605,4362058,5413252,5713447,4285685,5503049,1892265,3981114,NA,3637088,4525768,5081206,3610102,625617,4248606,4935444,3852800,7375601,5164341,4829712,3263767,4258185,3255590,3743558,4616179,4560843,7114680,1872755,4712492,4555249,3809565,4277582,3830499,4192368
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C","86.0 133.0 175.0 100.0 174.0 ",81996776,91188261,111759926,59139022,76907787,95109420,86677481,72681274,79039763,87342276,62104584,77058091,98153139,94114564,74821250,85454393,99743453,70502407,92284745,129689798,101875060,62651176,113461897,86669152,97509104,93493561,94002757,103786114,71088604,122029279,110437309,107898871,114241172,101319001,115873140,87971067,146252892,115358092,133314972,123743689,111035385,123322469,61644461,103301475,42132,82065684,102294133,110075008,105663833,32870302,90154341,86172011,75866483,93469329,102513168,103886304,58420526,104983950,104361772,95291281,111006989,118799058,103723890,58435343,108143877,101458145,87479369,105477580,109595944,99483006
"Guanosine_(5TMS)_SP_RI:2762_GMDpred","324.0 230.0 103.0 245.0 280.0 ",12915,45858,172785,NA,22199,4375,11382,9688,18745,50115,NA,9130,18999,18263,53322,60187,106345,NA,15209,55883,8687,NA,26424,34819,57164,17736,124904,239237,NA,97152,37355,31665,36583,36420,77064,NA,35529,17321,73630,49155,56710,554387,NA,22300,NA,88326,77748,113975,133753,NA,24174,13089,32293,75543,117615,53403,NA,9404,53934,32426,185597,196864,131469,NA,10807,43895,28042,198938,95584,68318
"Guanosine-5-monophosphate_(6TMS)_SP_RI:3061_GMDpred","211.0 315.0 230.0 135.0 169.0 ",3385482,7150629,17797624,695705,47770,44904,206735,39415,15031,37744,2367451,NA,5877772,1177299,830526,1606403,1779916,3275901,5586106,3873560,5787500,1611738,438397,282581,264576,433727,3026437,7184118,2813368,3882281,3636041,3471103,3945986,8466886,14652468,3640506,6965720,5167666,8406570,10551189,14815142,22258156,584738,NA,NA,NA,NA,644300,NA,2705720,NA,NA,NA,NA,NA,327500,1317188,349502,128311,485799,825124,2142574,58465,1239665,NA,NA,NA,NA,561822,67460
"Gulonic acid_(6TMS)_SP_RI:1952_GMDpred","205.0 292.0 103.0 333.0 319.0 ",371046,664419,820224,66053,154585,279706,297246,388650,509303,850218,74410,131763,243194,352742,391852,604892,823416,93383,200762,221331,369274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C","86.0 114.0 100.0 188.0 130.0 ",9556454,10925320,13457425,7596039,7790566,10192991,9237678,8569017,8618563,9593327,7668932,10374352,13261310,10862791,9211024,10023977,11464432,8501959,11306003,13801949,12722516,7880969,11318194,10178615,10663465,11366577,9182988,10073850,9771963,16157065,11101787,13222804,13173163,10231151,11034400,10781345,16855593,14028878,14593973,14138396,11812954,12781558,4294939,9096436,NA,8282695,10053816,9482115,6790102,3278304,7044426,6853894,7534253,7792496,8676357,6595728,3618281,7969383,9186813,8516429,10567915,9515844,5696301,4107988,8551618,9432181,8818068,10842833,10356746,6531094
"Hypoxanthine_(2TMS)_MP_RI:1807_IDENT:B+D","193.0 266.0 280.0 265.0 206.0 ",10231,59287,112271,8805,25699,12406,9193,5406,10405,13567,20899,17775,26978,14516,17583,23004,18647,24118,80392,19296,86991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18794,39959,NA,50919,59030,102981,29535,26285,17154,29001,19975,25748,16873,8851,28832,21657,34812,30024,35943,66531,14203,23258,41903,41133,43690,77314,88340,46142
"Inositol_ myo-_(6TMS)_MP_RI:2088_IDENT:C+D","129.0 191.0 305.0 217.0 133.0 ",82378544,74754945,80801267,51998624,62948193,81361524,84248388,69458848,61725385,61104836,54544580,69307304,88269898,91247635,77184977,70455700,68065887,63134782,77797047,101161797,102512891,80235704,128440187,111687188,125133647,123507003,100393671,95577562,90375482,142438167,123762271,135223494,134664198,107090374,102469336,99504452,152258821,137596872,147473191,148392871,119243553,114639542,64249083,116536417,NA,127151819,137403208,107416559,75910135,55620699,102842562,110943193,111393194,123172843,97395745,73982580,67685463,121825215,133292020,131531600,146221563,113068442,78817195,64749822,117598227,128949756,128646064,143631627,107866966,75486561
"Isobutanoic acid_ 3-amino-_(3TMS)_MP_RI:1460_IDENT:B+C","86.0 133.0 174.0 100.0 248.0 ",111677,197262,287081,107456,45955,40823,74202,48017,69587,74855,33665,109374,186088,52723,59863,154874,101717,140114,47433,79584,174364,110729,131139,70112,55128,44081,51905,135535,124016,182068,79634,63267,181145,132958,160911,121026,102078,179575,178372,219364,192152,268564,78921,167261,NA,180859,199550,187065,159950,62575,69504,84531,78914,107934,162860,114994,52651,109762,97670,135386,203480,191494,120351,63259,154643,168355,188421,251947,198700,136299
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D","86.0 87.0 130.0 146.0 103.0 ",4128712,5383961,5489911,2573419,2967159,3698429,4129065,3530021,4417770,4127141,2844079,2694991,2940817,4033490,3401300,4154105,4985273,3590534,3064049,5984403,4626715,3471578,5261722,4478306,4708517,5374373,4945855,5130799,4029697,4813685,5518604,5022108,6066007,5915813,5703926,4806830,7116701,5718656,7268772,7812357,5864542,5669583,3535163,5659471,NA,5192290,6387929,5905925,5545819,755250,6043000,6377840,5821687,9369605,7651127,7051582,4483437,6241878,6448371,6223329,7616980,7330996,7862140,3449370,5772147,6186578,5808953,6898574,6100186,5825249
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D","218.0 100.0 159.0 158.0 102.0 ",5687579,6690861,8125941,4423188,5162472,6828667,6741993,5715866,6745048,7185063,4246477,4950226,6991447,6938630,5784944,7216310,7590339,4416178,5667144,8580072,7027944,4486358,7837674,5548221,7013703,6800913,6808435,7071150,4650883,7953655,7200125,7549766,8157794,6598963,7289967,5410247,8882507,7021042,8701150,8281426,7477745,8387187,3986662,7473341,NA,6378135,8365791,7616901,5337351,3555119,4944549,5810328,5437926,5257744,5721260,4179638,2558746,6025837,6785311,6994570,8294934,7438529,4105206,3308194,6856845,7374094,6763946,8370207,7167610,4718732
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C","118.0 190.0 191.0 117.0 133.0 119.0 193.0 219.0 222.0 ",178141143,252349253,330622504,40887065,88678360,125143045,137870669,161178072,226421607,279964316,40791921,93976903,132244044,141982344,165464967,230046738,294800477,46392163,107237983,159382985,156672605,55957424,137586608,124622064,159361329,177615632,209900670,266437132,61492399,136423324,145256237,97462026,187610498,224017501,276039969,67302556,85176692,143482913,193951097,208852470,225944985,284537140,67491134,96245421,NA,219079749,288609559,289299836,306698250,NA,189299854,107803952,212406611,313276865,292110830,328441695,73775407,198654782,215656449,232544334,297123520,301152340,355986511,66756831,201054736,217761478,222284008,285556306,282264335,305982644
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C","86.0 87.0 146.0 130.0 103.0 ",2590654,3190555,3258612,1881007,2020872,2415867,2527860,2210203,2635736,2312236,1827021,1756907,1849946,2291755,2036872,2430486,2951945,2282876,1635422,3747917,2783053,2251449,3211856,2713418,2848182,2944448,2761659,2910104,2546322,2723783,3323646,2837125,3371180,3179976,3303225,2903184,4095701,3347129,4144191,4363312,3136979,3321423,2445443,4048693,NA,3602533,4238390,3845369,3732334,535231,4203031,4372990,3975270,5957507,4631778,4383730,3160741,4323110,4347042,4207559,4933148,4678672,4914144,2456736,4092585,4349642,4044669,4574982,3889470,3894031
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C","299.0 102.0 159.0 100.0 158.0 ",24231721,29026803,37181963,23653296,18017021,19933731,22304287,16621343,19551651,21515909,24719815,20189868,23674049,28822627,21017932,25123607,28760824,26976857,26219997,33493237,33175281,26363725,28448463,22879699,20743043,22355152,22192990,22794591,29455817,35009016,34412350,29040268,32253495,29254888,31733229,35588760,45130424,38675682,39367750,39152763,35551858,38177317,26556892,39461349,41862,30005522,41383700,38005875,27271650,12717088,25532284,27454423,21659453,29342248,26966369,21079859,21653311,33863045,36773428,31602903,39810639,35930183,25983431,23158027,39674698,41243732,33458913,42474539,36788036,26371053
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C","86.0 200.0 156.0 100.0 174.0 ",10696475,9972289,9556242,9505855,10448780,13293964,12173352,11170012,11056510,12053593,9850571,11690266,10298750,12659128,12444308,13430616,13909402,9515699,8904083,14769956,9506608,10818392,13965223,10402150,12044502,12739094,12648285,15482008,10944893,16543537,10115255,12339883,13878097,13110611,15430633,10974226,14884402,12032083,12677528,14268323,13794082,16067820,8213830,12319628,NA,12822679,17628690,16688123,15143137,6594927,9611579,10851440,11334209,13646609,15068886,14848739,7266636,11581149,14198739,14109098,19299546,17931054,13982975,7862858,11724023,13832745,14054480,19351307,17685241,15342881
"Lysine_(4TMS)_MP_RI:1915_IDENT:A+C","86.0 156.0 174.0 100.0 128.0 ",2972768,6137426,10437401,162117,193196,212647,223665,255830,255744,371248,161169,313321,6055798,334137,428777,655387,661443,1375701,5641670,837303,6943606,235368,284141,271208,343952,321159,426878,533394,1612056,334301,2225889,1781134,1023003,804277,1587824,3114027,3216430,2442125,3536373,3124720,3230660,4863427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D","101.0 133.0 117.0 149.0 233.0 245.0 247.0 249.0 ",3602732,3955549,5886635,1734446,2551567,3201805,3281940,3133653,3368469,4406076,1841080,2673578,3527732,3499503,3280171,3610561,4957664,2139197,3109409,4572880,4039954,1973920,3701111,3088847,3672155,4087751,3382924,3718310,2198243,4418846,4019312,4206168,4806046,3694919,4286833,2595291,5099874,4341459,5159409,5807404,4382279,4829043,2173893,3647849,NA,3074156,4593473,4480627,3365409,1211954,2886899,2953855,2721558,4105532,4018103,3130605,2015890,3180567,3361053,3067091,4645621,4400021,3261115,2000659,3541302,3598540,3177311,4764530,4474579,3260960
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D","104.0 131.0 178.0 130.0 116.0 ",438656,413355,381253,211594,262726,289703,339638,291095,374595,398538,221138,247023,336116,361792,363788,347013,391431,215883,282748,600699,395995,446177,406001,371074,393099,381771,297266,330837,263242,343287,353563,362817,286966,317127,304805,281828,324356,339237,422229,379184,372223,298075,157301,309044,NA,272574,526071,302122,258314,134547,648682,438482,421862,541458,700552,534335,253740,450997,306530,248694,NA,NA,674302,154209,282234,433300,257825,267881,268914,NA
"Nicotinamide_(1TMS)_SP_RI:1483_GMDpred","105.0 104.0 179.0 180.0 136.0 ",1394696,1721315,2327193,668301,951584,1275687,1238625,1196557,1393088,1718551,722316,1025881,1472573,1154028,1276538,1647806,1875500,791781,1152021,1419230,1503837,775103,1284479,1041248,1412191,1610378,1800749,2027693,830609,1359069,1241173,1363176,NA,1809682,NA,885875,NA,1260751,1467231,1768827,1993790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pantothenic acid_(3TMS)_MP_RI:1993_IDENT:A+D","103.0 117.0 159.0 201.0 157.0 ",1276299,1784146,2442195,1007805,1152774,1336603,1255618,1197463,1422428,2030818,1080846,1213258,1399013,1284229,1236365,1586662,2261829,1199539,1338572,1531419,1450197,1169635,1653784,1330595,1410654,1448625,1363893,1810024,1266638,1905753,1624455,1541664,1575852,1509943,1923395,1384567,1986960,1730611,1860665,1777376,1781362,2265174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C","120.0 130.0 91.0 103.0 146.0 ",3369019,3755345,3333699,2463381,3256151,3920515,3634900,3436562,3528139,4078614,3006636,2817938,3089580,3822368,3154057,4139102,3728759,3169850,2915685,5059220,3341916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
