name,mass,ri,row load,e18184_1.txt,e18184_2.txt,e18184_3.txt,e18184_4.txt,e18184_5.txt,e18184_6.txt,e18184_7.txt,e18184_8.txt,e18184_9.txt,e18184_10.txt,e18184_11.txt,e18184_12.txt,e18184_13.txt,e18184_14.txt,e18184_15.txt,e18184_16.txt,e18184_17.txt,e18184_18.txt,e18184_19.txt,e18184_20.txt,e18184_21.txt,e18184_22.txt,e18184_23.txt,e18184_24.txt,e18184_25.txt,e18184_26.txt,e18184_27.txt,e18184_28.txt,e18184_29.txt,e18184_30.txt,e18184_31.txt,e18184_32.txt,e18184_33.txt,e18184_34.txt,e18184_35.txt,e18184_36.txt,e18184_37.txt,e18184_38.txt,e18184_39.txt,e18184_40.txt,e18184_41.txt,e18184_42.txt,e18184_43.txt,e18184_44.txt,e18184_45.txt,e18184_46.txt,e18184_47.txt,e18184_48.txt,e18184_49.txt,e18184_50.txt,e18184_51.txt,e18184_52.txt,e18184_53.txt,e18184_54.txt,e18184_55.txt,e18184_56.txt,e18184_57.txt,e18184_58.txt,e18184_59.txt,e18184_60.txt,e18184_61.txt,e18184_62.txt,e18184_63.txt,e18184_64.txt,e18184_65.txt
#c10,71,1000.6,0.8923077,,6.85E+07,7.04E+07,6.81E+07,7.05E+07,6.78E+07,7.05E+07,6.64E+07,6.66E+07,8.32E+07,6.24E+07,6.58E+07,6.11E+07,6.26E+07,,6.39E+07,8.51E+07,6.46E+07,6.21E+07,6.58E+07,6.31E+07,6.35E+07,6.36E+07,8.54E+07,6.86E+07,6.79E+07,6.56E+07,6.44E+07,6.44E+07,8.42E+07,6.36E+07,6.45E+07,6.06E+07,6.14E+07,,8.12E+07,6.13E+07,,,6.38E+07,6.62E+07,8.23E+07,6.32E+07,6.46E+07,5.62E+07,,6.36E+07,8.08E+07,6.51E+07,6.42E+07,,6.10E+07,6.54E+07,8.11E+07,6.56E+07,6.44E+07,6.63E+07,6.38E+07,6.45E+07,8.24E+07,8.03E+07,8.08E+07,5.86E+07,7.79E+07,8.03E+07
#Lactic acid_(2TMS)_MP_RI:1049_IDENT:B+C,117,1052.6,0.8769231,,2.30E+07,3.51E+07,4.41E+07,9.95E+07,2.05E+08,3.31E+08,,,580411,3.00E+08,1.71E+08,7.25E+07,1.32E+08,,5.44E+07,552150,,3.99E+08,6.64E+07,1.30E+08,7.32E+07,2.39E+08,531948,,8.97E+07,1.37E+08,4.93E+07,2.02E+08,569139,2.38E+08,8.01E+07,1.89E+08,1.11E+08,,525748,1.14E+08,,,5.91E+07,5.58E+07,515776,1.65E+08,2.41E+08,2.30E+08,,2.63E+08,558822,2.62E+08,3.87E+08,,2.62E+08,6.84E+07,589045,2.81E+08,4.45E+08,7.85E+07,5.59E+07,6.04E+07,583767,546055,557234,1.02E+08,564525,600842
#Lactic acid_(2TMS)_MP_RI:1049_IDENT:B+C,101,1052.6,0.6769231,,1676463,2687062,3476772,7951765,1.61E+07,2.55E+07,9.58E+07,1.91E+08,,2.28E+07,1.35E+07,1.97E+07,2.52E+07,,1732550,,5.03E+07,3.06E+07,1.26E+07,1.04E+07,6007087,1.97E+07,,,2.14E+07,2.12E+07,1.15E+07,2.42E+07,,2.90E+07,1.94E+07,1.72E+07,9950469,,,1.47E+07,,,1.32E+07,1.28E+07,,2.01E+07,2.79E+07,1.89E+07,,2.48E+07,,3.19E+07,4.03E+07,,3.04E+07,4603051,,2.47E+07,3.48E+07,1.85E+07,1.62E+07,4144714,,,,1.96E+07,,
#Glycolic acid (2TMS)_M000000_A106002-101-0_NA_1060.28_PRED_VAR5_ALK,147,1072.8,0.6923077,,471607,723633,1325718,602830,6339839,2116696,3093173,1324226,,6006897,5447617,6605196,5056701,,4582528,,6732883,4198363,5095317,2104628,2731080,3938226,,1205270,4908053,3427420,1658201,3665038,,7195681,3713569,4929231,7483229,,,3261564,,,5999628,2493982,,4515872,4827297,4851703,,5298025,,4601562,2925089,,2777384,7167131,,3315251,2427421,2117971,2686641,3705857,,,,2619067,,
#Alanine (2TMS)_M000000_A110001-101-0_NA_1087.41_TRUE_VAR5_ALK,116,1093.8,0.6923077,,986472,1914391,3267665,8442306,1.73E+07,2.50E+07,9.98E+07,,69666,7326211,5624338,1.07E+07,6904039,,8912838,,3.45E+07,1.89E+07,7348158,4412606,5304018,1.49E+07,,,1.35E+07,1.13E+07,8006250,2.21E+07,,3.81E+07,1.54E+07,4.37E+07,1407570,,,9810043,,,9783676,1.30E+07,,1.73E+07,2.47E+07,8225373,,1.61E+07,,1.70E+07,3.58E+07,,2.33E+07,1.28E+07,,1.50E+07,2.10E+07,1.10E+07,8812601,9364624,,,,6019800,,
#Hydroxylamine (3TMS)_M000416_A110002-101-0_NA_1105.63_PRED_VAR5_ALK,146,1105,0.6769231,,5.25E+07,5.25E+07,5.62E+07,4.93E+07,4.75E+07,4.65E+07,3.85E+07,3.44E+07,,4.16E+07,4.32E+07,4.00E+07,4.05E+07,,4.30E+07,,3.42E+07,3.47E+07,4.16E+07,4.23E+07,4.36E+07,3.83E+07,,,3.65E+07,3.37E+07,4.11E+07,3.61E+07,,3.38E+07,3.86E+07,3.34E+07,2.82E+07,,,3.68E+07,,,3.46E+07,3.41E+07,,3.25E+07,2.93E+07,3.23E+07,,2.27E+07,,2.83E+07,2.73E+07,,3.74E+07,2.45E+07,,3.09E+07,3.28E+07,3.50E+07,2.92E+07,2.87E+07,,,,3.22E+07,,
#NA_M000000_A114002-101-0_NA_1123.41_PRED_VAR5_ALK,100,1135.8,0.6769231,,4.75E+07,5.34E+07,6.84E+07,5.22E+07,6.05E+07,9.35E+07,8.74E+07,1.46E+08,,7.10E+07,8.66E+07,9.57E+07,1.55E+08,,7.48E+07,,1.09E+08,9.80E+07,7.02E+07,8.93E+07,8.56E+07,8.26E+07,,,1.34E+08,1.45E+08,9.23E+07,1.46E+08,,1.74E+08,1.32E+08,1.07E+08,8.42E+07,,,1.19E+08,,,1.14E+08,1.14E+08,,1.31E+08,,8.33E+07,,1.01E+08,,8.09E+07,7.15E+07,,1.16E+08,9.10E+07,,1.14E+08,1.05E+08,9.77E+07,1.01E+08,1.10E+08,,,,9.81E+07,,
#Leucine (1TMS)_M000025_A118001-101-0_NA_1151.06_TRUE_VAR5_ALK,86,1153.2,0.6769231,,1623011,3246361,5645671,1.28E+07,2.45E+07,3.12E+07,1.26E+08,,,5079608,7481679,9441893,6911068,,4365357,,1.67E+07,8531169,3110571,2332012,2479900,8904683,,,1.08E+07,6083497,4935245,9715705,,1.43E+07,5957764,7167329,5858804,,,4894357,,,3008587,7901715,,1.73E+07,2.22E+07,9216528,,1.71E+07,,1.83E+07,2.89E+07,,2.62E+07,1.30E+07,,1.76E+07,1.33E+07,7642416,6513892,8193614,,,,8886083,,
"#Butanoic acid, 3-hydroxy-_(2TMS)_MP_RI:1153_IDENTA+B",191,1154.9,0.6923077,,194717,368309,668845,1592670,3500682,5608343,2.09E+07,4.55E+07,,8924650,4846854,7643113,2271495,,2740945,,1023413,428284,124566,347850,299789,448815,,3567814,414362,6074307,469725,1804633,,1012153,1.20E+07,1615983,4673915,,,1.04E+07,,,450986,1592543,,1273652,2274956,1943522,,1359826,,2752737,3228155,,1455649,2426476,,1639648,1244876,5631908,2.30E+07,8504565,,,,743127,,
#Proline_(1TMS)_BP_RI:1171_IDENT:A+B,103,1174.1,0.6769231,,365981,456754,742340,2173286,2832266,4346113,1.51E+07,3.14E+07,,543201,892645,1122363,469499,,401600,,3677675,1907777,620756,378337,458482,1971482,,,1891598,1001649,1407641,2708569,,5634044,1027936,4470381,2328366,,,653096,,,558599,1553406,,3035701,4809924,1528830,,3786493,,3182092,7465674,,4876446,1794123,,2832356,3298260,1354915,884304,1087944,,,,1320470,,
#Isoleucine (1TMS)_M000017_A119002-101-0_NA_1174.98_TRUE_VAR5_ALK,86,1175.3,0.6769231,,1548839,2707202,4863118,1.07E+07,2.11E+07,2.82E+07,1.16E+08,,,4425498,7122481,7988377,5991894,,4265692,,1.25E+07,6451614,2429485,1836691,1802553,6981153,,,8628319,6058992,3726130,7774786,,1.20E+07,6280736,8215364,6191461,,,4451177,,,2645561,7831779,,1.38E+07,1.76E+07,8919685,,1.37E+07,,1.71E+07,2.31E+07,,2.15E+07,1.17E+07,,1.64E+07,1.19E+07,7233997,7941570,8671234,,,,7238326,,
#c12,71,1200.3,0.8923077,,1.08E+08,1.03E+08,9.31E+07,9.33E+07,9.71E+07,1.06E+08,1.06E+08,1.13E+08,1.01E+08,1.03E+08,1.08E+08,1.08E+08,1.12E+08,,1.18E+08,1.01E+08,1.25E+08,1.07E+08,1.01E+08,8.63E+07,9.16E+07,9.60E+07,1.01E+08,1.68E+08,1.07E+08,1.05E+08,1.05E+08,1.07E+08,9.94E+07,1.12E+08,1.02E+08,1.17E+08,1.26E+08,,9.81E+07,1.00E+08,,,9.47E+07,9.93E+07,9.93E+07,1.03E+08,1.07E+08,1.13E+08,,1.18E+08,9.72E+07,1.24E+08,1.23E+08,,8.95E+07,1.18E+08,9.64E+07,1.07E+08,9.24E+07,9.33E+07,1.04E+08,1.12E+08,9.83E+07,1.01E+08,9.94E+07,8.17E+07,9.58E+07,9.87E+07
#NA_M000000_A125004-101-0_NA_1230.64_PRED_VAR5_ALK,278,1242.2,0.6769231,,3132087,3097708,2777016,3669454,4158631,5004821,6044473,7031773,,4005414,4191635,3816857,6872742,,3561757,,3824358,3344437,3521924,4023875,3804465,3573165,,,4744459,5261723,4148775,5968545,,5327867,4864095,4425649,3575327,,,5089978,,,4762077,4843370,,5337205,5897649,2586022,,3060117,,2292455,2189983,,4749640,3200892,,4131499,4269316,4818411,4021028,4178293,,,,3835931,,
#NA_M000805_A127003-101-0_NA_1235.69_PRED_VAR5_ALK,101,1247.5,0.8923077,,1.16E+08,1.11E+08,9.44E+07,9.21E+07,9.64E+07,1.03E+08,1.07E+08,1.13E+08,8.49E+07,1.12E+08,1.23E+08,1.27E+08,1.36E+08,,1.50E+08,8.27E+07,,1.26E+08,1.18E+08,9.55E+07,1.02E+08,1.07E+08,8.10E+07,8.73E+07,1.34E+08,1.34E+08,1.32E+08,1.38E+08,8.21E+07,1.44E+08,1.20E+08,,,,8.21E+07,1.31E+08,,,1.19E+08,1.17E+08,7.99E+07,1.34E+08,1.43E+08,,,1.57E+08,8.02E+07,,,,1.10E+08,,8.17E+07,1.46E+08,1.10E+08,1.08E+08,1.35E+08,1.53E+08,8.20E+07,8.31E+07,8.17E+07,8.43E+07,7.77E+07,8.01E+07
"#Benzoic acid, (1TMS)_M000347_A128003-101-0_NA_1250.69_PRED_VAR5_ALK",179,1255.5,0.8769231,,2440371,2943949,2568166,1716816,2100549,3822394,1932100,2785915,150670,5292827,6710413,8974443,3.79E+07,,4105788,151145,1.06E+07,2281890,3.31E+07,2460743,2202130,5714697,164717,2312159,2411668,3369676,2868578,3422206,100848,4028660,2723085,4603886,5335917,,100140,4645186,,,8.10E+07,2621967,119904,2.21E+07,5.52E+07,8.64E+07,,6332824,151305,7245471,1.01E+07,,5950774,9003220,103706,6196754,5960306,5582049,7076319,7634515,110788,144004,,3216889,138711,153365
#Serine (2TMS)_M000000_A128001-101-0_NA_1253.25_TRUE_VAR5_ALK,116,1262.1,0.6769231,,1992193,3606954,6334143,1.35E+07,2.69E+07,3.83E+07,1.52E+08,,,1.16E+07,1.69E+07,2.07E+07,1.62E+07,,1.61E+07,,3.50E+07,2.12E+07,8221102,7662867,6842285,1.83E+07,,,1.96E+07,3.27E+07,1.28E+07,2.33E+07,,6.49E+07,2.57E+07,6.16E+07,2.78E+07,,,1.87E+07,,,7926735,3.47E+07,,3.38E+07,4.60E+07,1.57E+07,,3.47E+07,,4.45E+07,9.21E+07,,2.93E+07,3.18E+07,,4.04E+07,4.20E+07,2.04E+07,2.91E+07,2.60E+07,,,,1.31E+07,,
#Phosphoric acid (3TMS)_M000075_A129001-101-0_NA_1262.34_TRUE_VAR5_ALK,299,1275.7,0.738461554,,8.55E+07,9.25E+07,9.30E+07,1.02E+08,1.38E+08,,,,1.56E+07,,,,1.29E+08,,,4708028,,,6.99E+07,5.87E+07,5.69E+07,,3718274,,,,4.07E+07,8.04E+07,1585230,,,,,,1858336,,,,1.03E+08,,1956078,,,1.41E+08,,,2027051,,,,,,2720482,,,,,,3598956,2988563,2711689,,2562334,3529762
#Leucine (2TMS)_M000025_A129002-101-0_NA_1264.43_TRUE_VAR5_ALK,158,1276.8,0.6615385,,749095,1583620,2863400,9061874,1.78E+07,2.15E+07,9.96E+07,,,4348499,5545676,6785949,3807326,,3332726,,1.10E+07,6106930,2307320,1750656,1465589,4900864,,,5585013,4280598,1660315,4141071,,4235376,3433840,,1723725,,,2506670,,,2524298,2764591,,5104420,1.10E+07,6185196,,5573138,,8540211,1.13E+07,,1.47E+07,9145627,,1.13E+07,6167553,3138845,3528599,3397313,,,,2117051,,
#Glycerol_(3TMS)_MP_RI:1279_IDENT:C+D,205,1278.5,0.8923077,,9725481,1.07E+07,1.11E+07,1.61E+07,2.51E+07,3.80E+07,1.30E+08,,544220,4.97E+07,,3.64E+07,,,2.22E+07,443988,4.80E+07,3.93E+07,3.32E+07,2.86E+07,1.63E+07,3.15E+07,449404,5.59E+07,1.35E+08,3.51E+07,3.15E+07,4.49E+07,399423,5.82E+07,7.78E+07,4.91E+07,3.52E+07,,404540,2.82E+07,,,3.38E+07,2.65E+07,400860,3.72E+07,5.35E+07,5.03E+07,,5.96E+07,412487,8.52E+07,4.05E+07,,6.56E+07,1.59E+08,444992,1.64E+08,2.60E+07,3.39E+07,5.28E+07,6.23E+07,458241,437608,422271,1.59E+07,418902,426168
#Isoleucine_(2TMS)_MP_RI:1300_IDENT:A+D,218,1299.8,0.5538462,,81000,193270,325757,1056896,2017929,2373401,9949495,1.66E+07,,244390,389435,385391,239252,,228565,,686317,304751,164745,139510,103517,300316,,,306824,249506,127322,,,342966,260039,296895,142176,,,,,,116508,176859,,254199,535954,259528,,,,337505,,,,,,555921,,210774,,196825,,,,126423,,
#Threonine_(2TMS)_BP_RI:1302_IDENT:C+D,117,1301.7,0.6769231,,1958328,3563606,6105252,1.24E+07,2.48E+07,3.54E+07,1.38E+08,,,4537480,8984715,9701758,5689515,,7054181,,1.86E+07,1.02E+07,4770623,3210783,3730153,1.04E+07,,,1.18E+07,2.06E+07,1.01E+07,1.88E+07,,3.00E+07,1.96E+07,1.10E+07,1.30E+07,,,5767631,,,3587385,1.47E+07,,1.72E+07,2.01E+07,8634740,,1.96E+07,,4.17E+07,6.20E+07,,3.40E+07,2.26E+07,,1.79E+07,2.05E+07,1.15E+07,2.21E+07,1.54E+07,,,,7667371,,
#Proline_(2TMS)_MP_RI:1304_IDENT:A+B,142,1305.1,0.6923077,,858569,1597587,2544120,6895912,1.37E+07,2.18E+07,9.73E+07,,,3549307,4939459,6839187,3207718,,5695040,62441,2.65E+07,1.38E+07,4428376,2261516,2632346,1.18E+07,,,5067617,2860018,3795714,8464308,,1.34E+07,2418012,2.10E+07,4419411,,,1562757,,,1655093,4224495,,7020213,1.08E+07,6936567,,9465727,,8836085,2.65E+07,,1.91E+07,7699468,,1.26E+07,1.26E+07,4682347,3289515,3574743,,,,1204995,,
#Glycine_(3TMS)_MP_RI:1313_IDENT:A+C,174,1312.6,0.6769231,,2260102,4059406,6579212,1.53E+07,2.78E+07,3.32E+07,1.29E+08,,,2.45E+07,3.21E+07,4.64E+07,3.17E+07,,2.63E+07,,3.96E+07,3.42E+07,1.13E+07,1.12E+07,9648380,3.13E+07,,,2.08E+07,3.09E+07,8033837,1.18E+07,,8.16E+07,3.57E+07,5.72E+07,2.48E+07,,,2.61E+07,,,1.56E+07,4.21E+07,,3.64E+07,4.37E+07,3.34E+07,,5.20E+07,,2.29E+07,5.98E+07,,1.61E+07,1.50E+07,,3.59E+07,4.65E+07,2.31E+07,2.81E+07,2.14E+07,,,,2.12E+07,,
#Succinic acid_(2TMS)_MP_RI:1325_IDENT:A+D,147,1324.4,0.6769231,,3986580,5438124,8574443,1.96E+07,3.85E+07,6.17E+07,,,,7711426,6285325,7800237,4155627,,6082681,,1.40E+07,6376864,3200027,2878545,2190472,8306434,,,4500864,7875736,5147015,8774042,,1.77E+07,1.49E+07,3.56E+07,1.75E+07,,,5881215,,,3535447,6782124,,9233925,9672880,6225020,,7340091,,1.37E+07,1.18E+07,,7474312,1.36E+07,,1.14E+07,5293364,6263805,7033603,1.20E+07,,,,4211922,,
#Fumaric acid (2TMS)_M000067_A137001-101-0_NA_1347.77_TRUE_VAR5_ALK,245,1361.4,0.6769231,,595093,879587,1505600,3669129,7003300,1.06E+07,4.16E+07,9.43E+07,,1260374,1543462,1450264,720535,,1163601,,1880828,1129036,222927,201659,141286,1177576,,,1631190,1103169,348921,838154,,2076109,1026882,1788509,923725,,,510397,,,230615,1627516,,770585,754627,414398,,929792,,2010141,1712972,,1462318,2543481,,2032639,816589,599104,1024297,1404363,,,,402627,,
#Unknown 79,145,1363.6,0.6923077,,1.13E+07,1.09E+07,1.07E+07,8795553,9719285,1.09E+07,1.14E+07,1.14E+07,,1.14E+07,1.21E+07,1.32E+07,1.30E+07,,1.47E+07,,1.50E+07,1.25E+07,1.06E+07,8872118,1.02E+07,1.02E+07,,2.06E+07,1.21E+07,1.19E+07,1.23E+07,1.36E+07,,1.42E+07,1.15E+07,1.74E+07,1.77E+07,,,1.22E+07,,,1.06E+07,1.13E+07,,1.26E+07,1.36E+07,1.68E+07,,1.52E+07,,1.75E+07,1.78E+07,,1.12E+07,1.74E+07,,1.38E+07,1.08E+07,1.01E+07,1.32E+07,1.53E+07,,,,7882452,,
#Alanine (3TMS)_M000026_A138002-101-0_NA_1356.55_TRUE_VAR5_ALK,188,1365.9,0.6615385,,234602,404670,849587,937335,1508830,1918982,3237795,,,1355220,1320696,1900735,1218456,,1721001,,5035305,3199430,1681680,1640473,1891982,3266946,,,2679454,1787531,4506485,6998600,,6980666,1900689,9558231,3584765,,,2205438,,,1509065,3366807,,5146334,4140837,3253725,,4901539,,4558250,1.17E+07,,1.03E+07,3898817,,6234706,8191814,4809701,3205243,3221790,,,,3805233,,
#Serine (3TMS)_M000015_A138001-101-0_NA_1352.68_TRUE_VAR5_ALK,204,1367.3,0.615384638,,215467,485176,959634,4433265,7481588,9210873,3.83E+07,1.04E+08,,1374021,1478053,1640174,1308742,,1461876,,2435298,728493,944496,1113042,720731,1637882,,,405045,744101,544615,1687244,,1951894,,1835933,758752,,,516105,,,267160,1040724,,1185711,1181935,427923,,,,853554,680728,,3846289,,,1968570,,2293675,794620,676845,,,,1124631,,
#Threonine_(3TMS)_MP_RI:1394_IDENT:C+D,218,1391.3,0.6769231,,149600,455848,939519,3954998,7024365,8616329,3.50E+07,8.95E+07,,671902,1148770,1473673,659928,,1070220,,3105910,1163172,687969,540117,452842,1456077,,,906448,1757841,617568,2108813,,3909695,1721774,1594151,806737,,,478555,,,311882,1641754,,2187078,2754621,771092,,2163802,,4476305,6989219,,6076088,2746499,,2737981,3038379,2156389,2736536,2019759,,,,931425,,
#Aspartic acid_(2TMS)_BP_RI:1431_IDENT:A+C,160,1430,0.6769231,,229301,248529,282298,686792,1477754,2178506,9712950,1.40E+07,,2119201,2988576,3146249,1367142,,2108883,,4160706,2616238,431123,514801,282090,2507864,,,3008207,4399761,1534793,2151983,,9635201,4774999,1.07E+07,5070741,,,2185557,,,1337636,4694917,,3111344,4400109,2028386,,4991627,,7621132,5499160,,3569345,5857806,,6026103,3386641,2141120,2298767,2733862,,,,1796628,,
#Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D,233,1484.1,0.6769231,,174791,293116,555440,1535480,3201357,5112054,2.09E+07,4.71E+07,,531792,368626,542346,301703,,506659,,1372009,717020,131489,125951,74153,655387,,,447970,919653,407941,1023357,,2317519,838302,2215206,1076625,,,526502,,,275463,1044614,,987311,986285,491759,,909099,,1055080,1902209,,949427,974677,,1001470,766331,514552,573809,1039802,,,,375189,,
#c15,85,1499.9,0.8923077,,8.17E+07,7.74E+07,6.61E+07,6.50E+07,6.89E+07,7.89E+07,9.68E+07,1.10E+08,5.62E+07,7.93E+07,8.50E+07,8.97E+07,9.12E+07,,9.83E+07,5.39E+07,1.11E+08,8.91E+07,7.80E+07,6.06E+07,6.77E+07,7.43E+07,5.35E+07,,8.98E+07,8.77E+07,8.77E+07,9.15E+07,5.24E+07,1.01E+08,8.29E+07,1.16E+08,1.32E+08,,5.21E+07,8.64E+07,,,7.85E+07,8.37E+07,5.23E+07,9.33E+07,1.04E+08,1.21E+08,,1.18E+08,5.23E+07,1.40E+08,1.38E+08,,7.24E+07,1.36E+08,5.37E+07,1.09E+08,8.07E+07,7.63E+07,1.03E+08,1.18E+08,5.36E+07,5.25E+07,5.17E+07,5.27E+07,5.00E+07,5.09E+07
#Unknown 114,159,1503.1,0.6769231,,4349757,4154968,4069093,3427074,3726868,4197656,5028741,5596930,,4434624,4630935,5248873,4947496,,5595015,,5953952,4808307,4136932,3426898,3928530,4052945,,,4828640,4801564,4836938,5437468,,5682585,4518360,7213319,7252054,,,4988343,,,4355917,4638683,,5168855,5610088,7012393,,6164931,,7139471,7247748,,4466236,7258957,,5589756,4510723,4123357,5450854,6316967,,,,2962752,,
#Pyroglutamic acid (2TMS)_M000037_A153002-101-0_NA_1522.86_TRUE_VAR5_ALK,156,1518.3,0.8769231,,1.66E+07,1.99E+07,2.70E+07,6.14E+07,1.13E+08,,,,1200159,3.24E+07,3.26E+07,4.11E+07,2.47E+07,,2.57E+07,1878927,6.93E+07,3.51E+07,1.48E+07,1.17E+07,8612447,3.03E+07,895095,,1.80E+07,3.46E+07,1.62E+07,3.21E+07,422407,8.00E+07,3.10E+07,7.48E+07,3.12E+07,,478189,3.61E+07,,,1.65E+07,3.98E+07,466651,4.87E+07,6.75E+07,3.22E+07,,6.24E+07,579288,7.38E+07,7.88E+07,,5.72E+07,5.90E+07,803677,7.43E+07,5.25E+07,3.56E+07,4.13E+07,4.61E+07,790386,581493,407543,2.41E+07,348873,557438
#Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B,174,1530.4,0.6769231,,234024,344395,539439,2305915,4705576,7330488,3.32E+07,6.43E+07,,1951175,2277003,2932169,1155974,,1302601,,3797875,2264540,230979,182269,140593,1716655,,,2100685,4053693,595650,1320940,,7953130,3647776,5420283,2733916,,,1656187,,,926096,2709905,,1659504,2942503,244215,,2597077,,3214649,2722598,,1497463,1986833,,1755814,1508144,715197,1418724,1325793,,,,585820,,
#Phenylalanine (1TMS)_M000011_A157001-101-0_NA_1556.05_TRUE_VAR5_ALK,120,1549.3,0.6769231,,662377,1383772,2564649,6176939,1.27E+07,1.48E+07,6.58E+07,7.93E+07,,2945571,3739953,4866328,3322303,,2286289,,9627148,5473206,1256482,1237430,1184417,3863002,,,6469715,5106880,2331873,4304478,,1.09E+07,4872305,7161041,4887677,,,2983607,,,2119337,4799992,,7339605,9924573,6162522,,9056367,,6580292,1.28E+07,,4823767,6686513,,8001785,6107048,3062473,3991620,4591081,,,,3336324,,
"#Glutaric acid, 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C",198,1574.3,0.630769253,,53060,95229,212600,528413,1281917,1881846,1.38E+07,2.90E+07,,155524,91664,162821,48043,,174050,,635661,365259,,,,247575,,,244068,640610,101027,641048,,1360355,112797,222612,50440,,,178278,,,128961,739431,,757717,724968,193418,,504176,,593969,1141169,,588132,460070,,362912,437091,242016,381347,726526,,,,222640,,
"#Hexadecane, n-_M000537_A160011-101-0_NA_1596.79_PRED_VAR5_ALK",71,1603.6,0.8923077,,1208445,1111340,894746,895880,980618,883984,970180,1466017,481723,857769,911105,968845,1135270,,1107582,483025,1316105,878989,851858,727904,791093,822464,458715,1617751,897865,882939,982798,993900,438180,1069150,864731,1240915,1505983,,423710,1054811,,,926991,795555,420977,1077659,1301564,1677483,,1174887,417280,1381482,1617719,,802111,1487526,423765,1259182,888693,1005442,1283297,1229279,441594,442826,431270,569557,416089,409341
#c17,85,1700.3,0.8923077,,8.43E+07,7.96E+07,6.75E+07,6.57E+07,6.79E+07,7.55E+07,8.27E+07,8.80E+07,5.69E+07,8.19E+07,8.83E+07,9.32E+07,9.36E+07,,1.00E+08,5.45E+07,1.16E+08,9.07E+07,8.14E+07,6.35E+07,7.06E+07,7.65E+07,5.39E+07,,9.16E+07,9.04E+07,9.16E+07,9.61E+07,5.34E+07,1.05E+08,8.52E+07,1.23E+08,1.41E+08,,5.32E+07,9.10E+07,,,8.30E+07,8.94E+07,5.32E+07,9.95E+07,1.11E+08,1.31E+08,,1.24E+08,5.31E+07,,,,7.63E+07,,5.47E+07,1.14E+08,8.71E+07,8.09E+07,1.10E+08,1.27E+08,5.45E+07,5.38E+07,5.26E+07,5.39E+07,5.06E+07,5.10E+07
#Glycerol-3-phosphate_(4TMS)_MP_RI:1758_IDENT:B+C,299,1755,0.6923077,,233525,361892,295918,665848,953614,1518971,5699942,1.25E+07,,572778,478598,708010,451468,,750785,75197,1116374,632404,265508,342361,255777,562302,34403,,,1081386,344302,747233,,2355760,1006173,2350588,1244428,,,574876,,,423877,1764810,,756120,1049019,737686,,1206522,,1106849,1594153,,990860,1395379,,1113901,1082594,747848,1170913,1254735,,,,533216,,
#Ethanolaminephosphate (4TMS)_M000000_A177014-101-0_NA_1774.08_TRUE_VAR5_ALK,172,1778.5,0.6769231,,136066,312056,570340,1424604,2603533,3149837,1.43E+07,2.62E+07,,680447,693419,814811,522156,,465419,,943311,772388,159143,373273,314313,688146,,,236393,808883,416859,792822,,1517171,1405382,1384739,592168,,,765667,,,420516,936315,,967135,1159386,356361,,1008878,,1318141,1688120,,1075382,1190619,,1256014,1180008,761373,1197223,903863,,,,697598,,
#Citric acid_(4TMS)_MP_RI:1810_IDENT:B+D,273,1815.1,0.7076923,,928341,1333636,2000594,4557663,9238037,1.49E+07,7.84E+07,,85570,5984851,3003881,4963491,1277153,,3914794,62045,7951656,3332926,581946,446840,216724,3514740,,,2211141,6987394,1700917,6641571,,1.45E+07,8518366,2.13E+07,8401413,,,4603168,,,3233638,9323943,,7249643,8987353,4813254,,8514934,,8531088,1.23E+07,,7856527,9510539,,7494413,8461888,6544332,9638243,1.73E+07,,,,3278097,,
#Fructose_(1MEOX)(5TMS)_MP_RI:1860_IDENT:B+C,217,1861,0.7076923,,1058352,2083637,3639149,1.02E+07,2.80E+07,3.04E+07,,,289972,1780059,1952528,1524278,2838786,,1678331,45410,2.24E+07,8967845,3752351,1673284,2007309,9050855,,,7032689,1627718,8652699,1.89E+07,,1.49E+07,1977190,1.75E+07,5368977,,,1729485,,,5690911,3317522,,3868461,4134038,1812639,,5040807,,2927463,1.12E+07,,6648792,4297253,,3104786,5623988,2250421,1747598,2483065,,,,1284344,,
#Fructose_(1MEOX)(5TMS)_BP_RI:1870_IDENT:B+C,217,1869.8,0.646153867,,781401,1565736,2714122,,,,,,242672,1396969,1547570,1229570,2166921,,1299003,,1.66E+07,6688081,2890196,1270999,1522205,6675371,,543027,5540878,1352987,6510525,1.40E+07,40003,1.11E+07,1564943,1.28E+07,4114042,,,1388584,,,4306545,2523007,,2957155,3204556,1488742,,3822290,,2223710,8236767,,4938549,3322907,,2387870,4246602,1779782,1373715,1930077,,,,972300,,
#Glucose_(1MEOX)(5TMS)_MP_RI:1885_IDENT:B+D,319,1883.1,0.9076923,,2387779,4429984,7256587,3.05E+07,6.99E+07,7.51E+07,,,507996,,,,,,,668103,,,7.62E+07,1.06E+08,1.07E+08,,334634,1.12E+07,,,1.11E+08,,406640,,,,,,133016,,,,,,160909,,,,78489,,399505,,,,,,463316,,,,,,129570,86258,37359,,439442,103002
