name,mass,ri,row load,e18184_1.txt,e18184_2.txt,e18184_3.txt,e18184_4.txt,e18184_5.txt,e18184_6.txt,e18184_7.txt,e18184_8.txt,e18184_9.txt,e18184_10.txt,e18184_11.txt,e18184_12.txt,e18184_13.txt,e18184_14.txt,e18184_15.txt,e18184_16.txt,e18184_17.txt,e18184_18.txt,e18184_19.txt,e18184_20.txt,e18184_21.txt,e18184_22.txt,e18184_23.txt,e18184_24.txt,e18184_25.txt,e18184_26.txt,e18184_27.txt,e18184_28.txt,e18184_29.txt,e18184_30.txt,e18184_31.txt,e18184_32.txt,e18184_33.txt,e18184_34.txt,e18184_35.txt,e18184_36.txt,e18184_37.txt,e18184_38.txt,e18184_39.txt,e18184_40.txt,e18184_41.txt,e18184_42.txt,e18184_43.txt,e18184_44.txt,e18184_45.txt,e18184_46.txt,e18184_47.txt,e18184_48.txt,e18184_49.txt,e18184_50.txt,e18184_51.txt,e18184_52.txt,e18184_53.txt,e18184_54.txt,e18184_55.txt,e18184_56.txt,e18184_57.txt,e18184_58.txt,e18184_59.txt,e18184_60.txt,e18184_61.txt,e18184_62.txt,e18184_63.txt,e18184_64.txt,e18184_65.txt
#Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1042_IDENT:A+D,174,1044.1,0.5846154,,,1030492,3115525,9781045,1.09E+07,4730552,2.02E+07,2.21E+07,,738518,487093,652786,2134876,,482486,,1140546,1065027,279084,311010,228064,536772,,,1406507,1483954,456509,1343231,,1362069,,,,,,357727,,,,672296,,895820,1045574,415335,,1151283,,1164420,1944781,,1599966,,,579842,1387365,753213,995347,753211,,,,874904,,
#Valine_(1TMS)_BP_RI:1080_IDENT:B+D,146,1085.2,0.6615385,,,85806,180605,343007,677478,801620,3124376,4152421,,358841,677994,683889,437540,,291957,,1117207,558746,256554,180994,195823,690709,,,451927,380661,370164,690594,,1101116,293283,986471,578952,,,263247,,,130492,637010,,1301880,1461043,599484,,1358100,,103281,2741710,,2206408,86932,,1462386,1183617,665560,599662,522092,,,,820827,,
#Valine_(2TMS)_MP_RI:1212_IDENT:B+D,144,1212.9,0.6615385,,,1346730,2358250,6510531,1.27E+07,1.57E+07,6.98E+07,1.43E+08,,7199710,1.12E+07,1.47E+07,8836835,,8238196,,2.59E+07,1.21E+07,4994275,3470780,3019044,1.20E+07,,,1.78E+07,9970987,4493296,1.17E+07,,2.35E+07,1.12E+07,1.87E+07,5972190,,,8595533,,,6595614,1.09E+07,,1.97E+07,3.09E+07,1.01E+07,,1.48E+07,,1.60E+07,2.77E+07,,3.65E+07,1.21E+07,,2.42E+07,1.72E+07,1.04E+07,1.09E+07,8939472,,,,7579163,,
#Glyceric acid_(3TMS)_MP_RI:1339_IDENT:A+B,189,1337.3,0.6615385,,,432801,768080,1796837,3907011,5929508,2.18E+07,4.68E+07,,5617731,4084070,3356588,4248985,,2332807,,1.87E+07,1.36E+07,795143,480639,2609982,1308429,,,1.38E+07,1945368,5532219,748251,,2.07E+07,1.01E+07,2.83E+07,1.17E+07,,,3020580,,,9599247,821517,,8857284,1.00E+07,559597,,9651103,,8115849,1.97E+07,,7484294,1.14E+07,,8540030,1.53E+07,6892455,5459514,1.33E+07,,,,4030733,,
#Unknown 82,119,1377.3,0.8153846,,,129938,,107358,,146314,104861,168280,187490,4.49E+07,5.64E+07,7.05E+07,1159945,,4.11E+07,253627,1.22E+08,1904083,2.02E+07,8121569,7741362,6.12E+07,224718,,9864600,1.04E+07,1.79E+07,2.44E+07,83963,2.03E+07,1.12E+07,2.18E+07,5.69E+07,,102168,5.67E+07,,,2.27E+07,1.18E+07,102202,6.20E+07,8.86E+07,3.65E+07,,7.79E+07,111547,1.03E+08,1.02E+08,,6.13E+07,1.30E+08,,7.79E+07,6.25E+07,6.80E+07,7.87E+07,8.96E+07,120648,130271,111513,3.72E+07,103278,122761
#Serine_(4TMS)_BP_RI:1571_IDENT:C+D,114,1566.3,0.646153867,,,144515,256234,369068,558171,614571,1342847,,,323890,434945,560254,335273,,524093,,861428,540960,352339,494349,390380,646534,,,452326,779513,742282,1130923,,1674283,582576,1693784,753546,,,837961,,,294832,1324934,,1404814,1202365,852556,,1065759,,1310911,3071599,,1622370,1106310,,1990864,2124096,1306578,1361826,1094036,,,,920032,,
#Unknown 171,116,1900.4,0.261538476,,,3062771,2866948,3401355,4239405,4453789,,,,,4325617,,,,,,,,4552881,4600292,4757008,,164309,,,4848716,5779090,,,,,,7321572,,,,,,,,,,,8690722,,,,,,,,,,,,5141190,,,116858,,,5338860,,
#Sucrose_(8TMS)_MP_RI:2630_IDENT:A+C,217,2625.4,0.015384615,,,826340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Lactose_(1MEOX)(8TMS)_BP_RI:2693_IDENT:B+D,204,2672.6,0.646153867,,,69794,211344,1791461,49656,,795561,370526,,981621,821953,553109,631278,,448153,,314729,150450,403488,1510051,159104,345317,,,79459,120056,124610,68692,,740138,80912,2441418,1033450,,,217410,,,227552,1668896,,1625895,780811,404593,,220533,,307379,2882285,,312670,829619,,283291,1083761,676204,1820331,663577,,,,367759,,
#Methionine_(1TMS)_BP_RI:1421_IDENT:C+D,104,1420.6,0.646153867,,,,325435,638726,1163096,1390482,6737494,7526490,,1322558,1323852,1813523,1676667,,1427853,,6746589,4119758,1053818,899789,1043348,2649451,,,4449778,2641317,1812649,3154296,,1.11E+07,1620366,2531720,3190942,,,1546781,,,1476116,3687718,,6303830,7807601,2603983,,8276214,,9320632,1.32E+07,,6204519,3780346,,6119921,5895905,2281104,2198575,1873671,,,,2675386,,
