File,Metabolite,Mass(m/z),SamplePeakArea,SampleMID,ReferencePeakArea,ReferenceMID,BackupPeakArea,BackupMID,UsedMID
e18057cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,390575,0.8688074598545666,1436175,0.8239030115837204,294838,0.8339,quant
e18057cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,43152,0.09598868209087694,169435,0.09720125107851596,45490,0.12869999999999998,quant
e18057cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,14947,0.033248582480819834,75879,0.04353016632092963,12524,0.0354,quant
e18057cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,879,0.0019552755737365785,47633,0.027326037670038366,696,0.002,quant
e18057cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,0,0.0,14014,0.00803953334679566,0,0.0,quant
e18057cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,373663,0.6092295100409726,2963159,0.843625361610586,294838,0.8339,quant
e18057cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,42092,0.06862785059437145,337659,0.09613311198490154,45490,0.12869999999999998,quant
e18057cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,21601,0.03521881119188961,134779,0.03837221782986103,12524,0.0354,quant
e18057cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,163323,0.26628590807337565,63011,0.017939529286293658,696,0.002,quant
e18057cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,12658,0.02063792009939071,13803,0.003929779288357769,0,0.0,quant
e18057cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,312385,0.6072944936507072,1436175,0.8239030115837204,294838,0.8339,quant
e18057cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,35407,0.06883325427498309,169435,0.09720125107851596,45490,0.12869999999999998,quant
e18057cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,18775,0.036499685062637545,75879,0.04353016632092963,12524,0.0354,quant
e18057cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,137409,0.267131037271476,47633,0.027326037670038366,696,0.002,quant
e18057cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,10412,0.020241529740196117,14014,0.00803953334679566,0,0.0,quant
e18057cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,500349,0.6230654858264304,2963159,0.843625361610586,294838,0.8339,quant
e18057cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,59641,0.07426865775723372,337659,0.09613311198490154,45490,0.12869999999999998,quant
e18057cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,28386,0.03534800085674011,134779,0.03837221782986103,12524,0.0354,quant
e18057cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,199116,0.24795154437365824,63011,0.017939529286293658,696,0.002,quant
e18057cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,15552,0.01936631118593751,13803,0.003929779288357769,0,0.0,quant
e18057cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,512848,0.6164134776144339,1436175,0.8239030115837204,294838,0.8339,quant
e18057cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,61118,0.07346028243229762,169435,0.09720125107851596,45490,0.12869999999999998,quant
e18057cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,29402,0.03533949448729367,75879,0.04353016632092963,12524,0.0354,quant
e18057cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,212470,0.25537658641300887,47633,0.027326037670038366,696,0.002,quant
e18057cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,16149,0.01941015905296597,14014,0.00803953334679566,0,0.0,quant
e18057cz_22.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,33426,0.6494647055394719,15896528,0.8547460191187687,294838,0.8339,quant
e18057cz_22.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,3833,0.07447490625060718,1914849,0.10296019105326365,45490,0.12869999999999998,quant
e18057cz_22.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,1701,0.03305030407834146,683728,0.0367636119132453,12524,0.0354,quant
e18057cz_22.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,12092,0.23494666485320692,90153,0.004847468444783311,696,0.002,quant
e18057cz_22.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,415,0.00806341927837255,12697,6.827094699390336E-4,0,0.0,quant
e18057cz_24.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,275371,0.64026813179659,1436175,0.8239030115837204,294838,0.8339,quant
e18057cz_24.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,31108,0.07232955192786576,169435,0.09720125107851596,45490,0.12869999999999998,quant
e18057cz_24.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,14597,0.033939644769546626,75879,0.04353016632092963,12524,0.0354,quant
e18057cz_24.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,101164,0.23521752575641672,47633,0.027326037670038366,696,0.002,quant
e18057cz_24.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,7847,0.018245145749580898,14014,0.00803953334679566,0,0.0,quant
e18057cz_25.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,313722,0.6377176310359898,1436175,0.8239030115837204,294838,0.8339,quant
e18057cz_25.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,35540,0.07224384839768673,169435,0.09720125107851596,45490,0.12869999999999998,quant
e18057cz_25.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,16739,0.034026161461138946,75879,0.04353016632092963,12524,0.0354,quant
e18057cz_25.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,117267,0.23837420849891755,47633,0.027326037670038366,696,0.002,quant
e18057cz_25.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,8677,0.017638150606266962,14014,0.00803953334679566,0,0.0,quant
e18057cz_26.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,331808,0.6354223120158564,1436175,0.8239030115837204,294838,0.8339,quant
