file,metabolite,quantMasses,intensity,rt,ri
e18057cz_15_Quant1_1.cdf,c32,71;85;99,1.23133359E8,2068.0,3200.0
e18057cz_15_Quant1_1.cdf,c36,71;85;99,1.06502708E8,2251.8,3600.0
e18057cz_8_Quant1_200.cdf,c10,71;85;99,1.58442998E8,409.6,1000.0
e18057cz_8_Quant1_200.cdf,c12,71;85;99,1.1780014E8,711.2,1200.0
e18057cz_8_Quant1_200.cdf,c15,71;85;99,1.62947076E8,1114.8,1500.0
e18057cz_8_Quant1_200.cdf,c17,71;85;99,1.74836247E8,1322.6,1700.0
e18057cz_8_Quant1_200.cdf,c19,71;85;99,1.60173187E8,1499.4,1900.0
e18057cz_8_Quant1_200.cdf,c22,71;85;99,1.56505116E8,1683.0,2200.0
e18057cz_8_Quant1_200.cdf,c28,71;85;99,1.27207945E8,1933.6,2800.0
e18057cz_8_Quant1_200.cdf,c32,71;85;99,1.0772905E8,2068.0,3200.0
e18057cz_8_Quant1_200.cdf,c36,71;85;99,9.4900436E7,2252.2,3600.0
e18057cz_9_Quant1_100.cdf,c10,71;85;99,1.58134386E8,410.0,1000.0
e18057cz_9_Quant1_100.cdf,c12,71;85;99,1.17139663E8,711.2,1200.0
e18057cz_9_Quant1_100.cdf,c15,71;85;99,1.64859691E8,1114.6,1500.0
e18057cz_9_Quant1_100.cdf,c17,71;85;99,1.79201302E8,1322.4,1700.0
e18057cz_9_Quant1_100.cdf,c19,71;85;99,1.64642558E8,1499.4,1900.0
e18057cz_9_Quant1_100.cdf,c22,71;85;99,1.60693694E8,1682.8,2200.0
e18057cz_9_Quant1_100.cdf,c28,71;85;99,1.30920577E8,1933.4,2800.0
e18057cz_9_Quant1_100.cdf,c32,71;85;99,1.1115928E8,2068.0,3200.0
e18057cz_9_Quant1_100.cdf,c36,71;85;99,9.7368329E7,2252.0,3600.0
e18057cz_3_IdentA.cdf,c10,71;85;99,1.71487749E8,410.0,1000.0
e18057cz_3_IdentA.cdf,c12,71;85;99,1.188363E8,711.4,1200.0
e18057cz_3_IdentA.cdf,c15,71;85;99,1.70362854E8,1114.6,1500.0
e18057cz_3_IdentA.cdf,c17,71;85;99,1.85407885E8,1322.4,1700.0
e18057cz_3_IdentA.cdf,c19,71;85;99,1.74946845E8,1499.2,1900.0
e18057cz_3_IdentA.cdf,c22,71;85;99,1.70745778E8,1682.8,2200.0
e18057cz_3_IdentA.cdf,c28,71;85;99,1.40390745E8,1933.6,2800.0
e18057cz_3_IdentA.cdf,c32,71;85;99,1.16625829E8,2068.0,3200.0
e18057cz_3_IdentA.cdf,c36,71;85;99,1.01375708E8,2252.0,3600.0
e18057cz_4_IdentB.cdf,c10,71;85;99,1.53756091E8,409.6,1000.0
e18057cz_4_IdentB.cdf,c12,71;85;99,1.1451798E8,711.2,1200.0
e18057cz_4_IdentB.cdf,c15,71;85;99,2.02323565E8,1114.6,1500.0
e18057cz_4_IdentB.cdf,c17,71;85;99,1.91622703E8,1322.4,1700.0
e18057cz_4_IdentB.cdf,c19,71;85;99,1.86720758E8,1499.2,1900.0
e18057cz_4_IdentB.cdf,c22,71;85;99,1.72087041E8,1682.8,2200.0
e18057cz_4_IdentB.cdf,c28,71;85;99,1.40364364E8,1933.4,2800.0
e18057cz_4_IdentB.cdf,c32,71;85;99,1.16399316E8,2068.0,3200.0
e18057cz_4_IdentB.cdf,c36,71;85;99,1.01563207E8,2252.0,3600.0
e18057cz_5_IdentC.cdf,c10,71;85;99,1.52563384E8,409.8,1000.0
e18057cz_5_IdentC.cdf,c12,71;85;99,1.1332841E8,711.2,1200.0
e18057cz_5_IdentC.cdf,c15,71;85;99,1.97660052E8,1114.6,1500.0
e18057cz_5_IdentC.cdf,c17,71;85;99,1.86103835E8,1322.4,1700.0
e18057cz_5_IdentC.cdf,c19,71;85;99,1.71776587E8,1499.2,1900.0
e18057cz_5_IdentC.cdf,c22,71;85;99,1.65661079E8,1682.8,2200.0
e18057cz_5_IdentC.cdf,c28,71;85;99,1.36256036E8,1933.6,2800.0
e18057cz_5_IdentC.cdf,c32,71;85;99,1.13296786E8,2068.0,3200.0
e18057cz_5_IdentC.cdf,c36,71;85;99,9.7949754E7,2251.8,3600.0
e18057cz_6_IdentD.cdf,c10,71;85;99,1.57397508E8,409.8,1000.0
e18057cz_6_IdentD.cdf,c12,71;85;99,1.15749652E8,711.2,1200.0
e18057cz_6_IdentD.cdf,c15,71;85;99,1.6535164E8,1114.6,1500.0
e18057cz_6_IdentD.cdf,c17,71;85;99,1.80205045E8,1322.4,1700.0
e18057cz_6_IdentD.cdf,c19,71;85;99,1.73266836E8,1499.4,1900.0
e18057cz_6_IdentD.cdf,c22,71;85;99,1.6418075E8,1683.0,2200.0
e18057cz_6_IdentD.cdf,c28,71;85;99,1.33756256E8,1933.6,2800.0
e18057cz_6_IdentD.cdf,c32,71;85;99,1.11827633E8,2068.0,3200.0
e18057cz_6_IdentD.cdf,c36,71;85;99,9.7503358E7,2252.0,3600.0
e18057cz_17.cdf,c10,71;85;99,1.50341161E8,409.4,1000.0
e18057cz_17.cdf,c12,71;85;99,1.14520104E8,711.0,1200.0
e18057cz_17.cdf,c15,71;85;99,1.48168982E8,1114.4,1500.0
e18057cz_17.cdf,c17,71;85;99,1.7458996E8,1322.2,1700.0
e18057cz_17.cdf,c19,71;85;99,1.86709914E8,1499.4,1900.0
e18057cz_17.cdf,c22,71;85;99,1.50047853E8,1682.6,2200.0
