Metabolite,e18057cz_17.cdf,e18057cz_18.cdf,e18057cz_19.cdf,e18057cz_20.cdf,e18057cz_21.cdf,e18057cz_22.cdf,e18057cz_24.cdf,e18057cz_25.cdf,e18057cz_26.cdf,e18057cz_27.cdf,e18057cz_28.cdf,e18057cz_30.cdf,e18057cz_32.cdf,e18057cz_33.cdf,e18057cz_34.cdf,e18057cz_35.cdf,e18057cz_37.cdf,e18057cz_38.cdf,e18057cz_39.cdf,e18057cz_40.cdf,e18057cz_41.cdf,e18057cz_44.cdf,e18057cz_45.cdf,e18057cz_46.cdf,e18057cz_49.cdf,e18057cz_50.cdf,e18057cz_51.cdf,e18057cz_52.cdf,e18057cz_53.cdf,e18057cz_57.cdf,e18057cz_58.cdf,e18057cz_59.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,1.3286393E7,1.7053335E7,1.4055456E7,1.9335886E7,2.2792958E7,1401574.0,1.1948014E7,1.4020901E7,1.4682589E7,2.1073057E7,1177488.0,1.6068269E7,2.4588144E7,1.7292002E7,2.0682034E7,1.8022489E7,2.105128E7,1.6777963E7,1.3239313E7,2.1662612E7,2.1196319E7,1.4283205E7,1.5871925E7,2.0403537E7,1.4557945E7,1.6238725E7,1.1732618E7,2.976641E7,1.7557726E7,2.0625177E7,2.5815818E7,2.6388192E7,100.0 99.0 89.0 174.0 115.0 177.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,3.025856774E9,1.564027176E9,1.986512052E9,1.477819058E9,3.585516643E9,8.6159816E7,1.696125074E9,1.273678463E9,1.5694576E9,3.166469381E9,9.339623E7,3.526999395E9,3.197368087E9,1.526721821E9,2.688461643E9,4.095596302E9,2.80608775E9,2.676443508E9,1.118919381E9,3.199783692E9,3.536273508E9,2.0476404E9,2.218036807E9,3.434294571E9,2.357676969E9,2.147221329E9,1.558154274E9,4.207511496E9,3.914248823E9,2.120122981E9,2.288326528E9,4.174251644E9,118.0 190.0 191.0 117.0 133.0 119.0 193.0 219.0 222.0 
Valine_(1TMS)_BP_RI:1084_IDENT:B+D,2.3875718E7,4.8838626E7,7.4658561E7,4.923258E7,9.3254871E7,1263122.0,4.3299647E7,4.845262E7,6.1997368E7,9.5375277E7,1517792.0,4.9891229E7,9.5295692E7,2.9508651E7,8.5463547E7,8.7893623E7,6.1821502E7,9.4262125E7,2.4539254E7,9.3263181E7,1.0677971E8,4.65622E7,4.8391575E7,7.9277378E7,4.289009E7,5.8087797E7,3.7671519E7,1.14154772E8,1.29241052E8,2.9088789E7,4.8922511E7,7.655311E7,130.0 87.0 103.0 156.0 146.0 
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,9.1918911E7,5.9760821E7,5.3158634E7,3.0006184E7,7.3142617E7,NA,6.4744203E7,5.2498353E7,4.6510683E7,1.5198087E7,NA,6.2135131E7,6.3927025E7,5.2103707E7,3.8941451E7,1.17930343E8,6.4568046E7,3.9403483E7,6.2221988E7,3.2471037E7,8.2791786E7,6.9622706E7,8.3535978E7,6.0126823E7,6.3375258E7,7.4245395E7,4.911466E7,1.11656164E8,6.6853855E7,8.5220096E7,7.7613944E7,1.33063816E8,86.0 117.0 116.0 100.0 103.0 118.0 
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C,4.5236833E7,2.7715935E7,4.0298794E7,2.8889368E7,5.545566E7,NA,4.9316962E7,4.4438795E7,4.5909899E7,5.9695114E7,NA,5.4349697E7,8.9981605E7,7.7618515E7,5.2561138E7,6.9578075E7,8.2199107E7,5.5544364E7,8.2343032E7,6.6350379E7,7.9696345E7,6.6674845E7,9.4281025E7,9.6340722E7,6.1009485E7,7.657662E7,8.2288947E7,1.70607994E8,8.4946979E7,1.26192127E8,8.7181361E7,1.74863653E8,86.0 176.0 103.0 104.0 102.0 276.0 277.0 
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C,1.554738E8,1.90624427E8,2.0304905E8,1.86806423E8,1.89105652E8,6134219.0,1.65539864E8,1.52726921E8,1.51355621E8,2.06938116E8,4598436.0,1.86273343E8,2.47363375E8,1.02885077E8,2.32589022E8,1.58324782E8,2.19112346E8,2.55341837E8,8.2222282E7,2.50636152E8,2.58174751E8,1.4986563E8,1.50177594E8,2.45826198E8,1.61456847E8,1.82573444E8,9.8665316E7,1.87936095E8,2.24800513E8,1.17164876E8,1.58751737E8,1.81769091E8,86.0 87.0 146.0 130.0 103.0 
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B,1.2756103E7,9708498.0,1.183651E7,9590545.0,1.9185913E7,NA,1.0125078E7,9154129.0,1.1767383E7,1.510563E7,NA,1.004979E7,1.4967357E7,9995858.0,1.3667164E7,1.6668555E7,1.3835301E7,1.6174434E7,8408638.0,1.5991203E7,1.6485441E7,1.0769095E7,1.2197303E7,1.5659098E7,1.0987158E7,1.2078429E7,1.5327895E7,1.6243496E7,2.4322329E7,9479206.0,1.1823394E7,1.5639692E7,191.0 88.0 117.0 149.0 133.0 
Proline_(1TMS)_BP_RI:1172_IDENT:A+B,1.15845587E8,1.44720483E8,1.10602943E8,1.53652882E8,1.21616028E8,NA,1.40682167E8,1.02474161E8,1.03204083E8,1.44164698E8,NA,1.60387741E8,1.6315653E8,8.9426686E7,1.70156062E8,1.07242607E8,1.82813373E8,1.92767405E8,6.0300872E7,2.6012475E7,NA,1.41510715E8,1.32193013E8,NA,NA,NA,1.01620602E8,1.28944597E8,1.6394401E8,1.05532024E8,NA,NA,86.0 103.0 104.0 144.0 172.0 
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D,1.38308494E8,1.75522057E8,1.29352911E8,1.83661245E8,1.47179139E8,8838143.0,1.71442959E8,1.22174615E8,1.26447128E8,1.75699707E8,1.4253712E7,1.91410034E8,1.92660641E8,1.09615592E8,2.01230902E8,1.31312707E8,2.18378674E8,2.3009965E8,7.2730519E7,2.25609099E8,2.02820657E8,1.69805209E8,1.58220924E8,2.45235307E8,2.03084493E8,2.02036547E8,1.24791901E8,1.53229603E8,1.93531323E8,1.28049631E8,1.86623354E8,1.57476182E8,86.0 87.0 130.0 146.0 103.0 
Alanine_ beta-_(2TMS)_BP_RI:1188_IDENT:A+D,5355022.0,NA,3.5475695E7,1.3537268E7,4.9814973E7,NA,2.2020375E7,5.4718745E7,9.5396422E7,7208142.0,NA,7724556.0,5.9770561E7,NA,NA,5.7639256E7,2.6934761E7,2.3519668E7,2.20534356E8,1.5144903E7,3.7006251E7,4.1929768E7,7.4224834E7,1.8754025E7,2.9945885E7,3.537575E7,1.03860513E8,6.5860574E7,5.6739734E7,8.3994559E7,5.7306676E7,5.9366471E7,86.0 102.0 176.0 117.0 99.0 
