"file","metabolite","start","end","Area"
"e10222ch_100_c5.cdf","Unknown 94",765.231,771.231,10089
"e10222ch_100_c5.cdf","Unknown 95",766.631,780.031,115474
"e10222ch_100_c5.cdf","Unknown 96",772.031,780.031,63094
"e10222ch_100_c5.cdf","Unknown 97",777.031,784.031,17688
"e10222ch_100_c5.cdf","Unknown 98",782.831,794.631,18883640
"e10222ch_100_c5.cdf","Unknown 99",784.031,796.231,3131568
"e10222ch_100_c5.cdf","Unknown 100",791.231,795.231,68969
"e10222ch_100_c5.cdf","Unknown 101",791.631,797.031,36384
"e10222ch_100_c5.cdf","Unknown 102",793.031,804.431,63788
"e10222ch_100_c5.cdf","Unknown 103",794.631,835.631,12494994
"e10222ch_100_c5.cdf","Unknown 104",796.031,809.431,154567
"e10222ch_100_c5.cdf","Unknown 105",816.831,826.031,3456086
"e10222ch_100_c5.cdf","Unknown 106",815.831,830.631,1012442
"e10222ch_100_c5.cdf","Unknown 107",817.431,829.231,2252759
"e10222ch_100_c5.cdf","Unknown 108",823.031,832.831,6892369
"e10222ch_100_c5.cdf","Unknown 109",826.031,834.231,96847
"e10222ch_100_c5.cdf","Unknown 110",829.431,834.431,141545
"e10222ch_100_c5.cdf","Unknown 111",825.831,837.031,55974
"e10222ch_100_c5.cdf","Unknown 112",832.831,846.031,322330
"e10222ch_100_c5.cdf","Unknown 113",833.031,842.831,39375932
"e10222ch_100_c5.cdf","Unknown 114",834.631,847.631,190888
"e10222ch_100_c5.cdf","Unknown 115",842.831,866.031,511927
"e10222ch_100_c5.cdf","Unknown 116",844.031,867.231,13539917
"e10222ch_100_c5.cdf","Unknown 117",849.631,856.831,1628265
"e10222ch_100_c5.cdf","Unknown 118",851.831,863.031,22512
"e10222ch_100_c5.cdf","Unknown 119",857.031,863.631,129692
"e10222ch_100_c5.cdf","Unknown 120",861.831,867.431,50807
"e10222ch_100_c5.cdf","Unknown 121",867.231,900.231,1527439
"e10222ch_100_c5.cdf","Unknown 122",867.431,877.831,24974
"e10222ch_100_c5.cdf","Unknown 123",877.831,885.231,119808
"e10222ch_100_c5.cdf","Unknown 124",885.831,905.831,532559
"e10222ch_100_c5.cdf","Unknown 125",891.031,899.831,77213
"e10222ch_100_c5.cdf","Unknown 126",896.631,905.631,19479
"e10222ch_100_c5.cdf","Unknown 127",899.031,905.231,162272
"e10222ch_100_c5.cdf","Unknown 128",897.631,909.231,63965
"e10222ch_100_c5.cdf","Unknown 129",905.231,913.431,48618
"e10222ch_100_c5.cdf","Unknown 130",904.031,917.631,85772
"e10222ch_100_c5.cdf","Unknown 131",905.631,914.431,1089660
"e10222ch_100_c5.cdf","Unknown 132",911.631,919.831,26079
"e10222ch_100_c5.cdf","Unknown 133",912.031,920.031,24998
"e10222ch_100_c5.cdf","Unknown 134",915.631,922.831,59439
"e10222ch_100_c5.cdf","Unknown 135",920.031,936.831,146024
"e10222ch_100_c5.cdf","Unknown 136",921.231,936.631,242109
"e10222ch_100_c5.cdf","Unknown 137",926.031,937.631,33510
"e10222ch_100_c5.cdf","Unknown 138",927.631,933.831,13579
"e10222ch_100_c5.cdf","Unknown 139",929.631,937.031,20761
"e10222ch_100_c5.cdf","Unknown 140",931.231,939.231,38260
"e10222ch_100_c5.cdf","Unknown 141",933.631,938.831,12556
"e10222ch_100_c5.cdf","Unknown 142",936.231,942.431,95156
"e10222ch_100_c5.cdf","Unknown 143",937.831,958.231,7317580
"e10222ch_100_c5.cdf","Unknown 144",942.231,952.431,16084
"e10222ch_100_c5.cdf","Unknown 145",946.231,953.031,58205
"e10222ch_100_c5.cdf","Unknown 146",958.031,963.831,52452
"e10222ch_100_c5.cdf","Unknown 147",958.231,964.631,50404
"e10222ch_100_c5.cdf","Unknown 148",963.031,971.031,48051
"e10222ch_100_c5.cdf","Unknown 149",964.631,976.431,39048
"e10222ch_100_c5.cdf","Unknown 150",971.831,977.231,13395
"e10222ch_100_c5.cdf","Unknown 151",972.031,985.031,37386
"e10222ch_100_c5.cdf","Unknown 152",974.631,992.231,247169
"e10222ch_100_c5.cdf","Unknown 153",978.831,987.631,24735
"e10222ch_100_c5.cdf","Unknown 154",988.831,998.631,53197
"e10222ch_100_c5.cdf","Unknown 155",987.431,997.031,20912
"e10222ch_100_c5.cdf","Unknown 156",990.431,1002.43,771888
"e10222ch_100_c5.cdf","Unknown 157",991.031,1003.63,931598
"e10222ch_100_c5.cdf","Unknown 158",1002.43,1035.23,355287
"e10222ch_100_c5.cdf","Unknown 159",1012.23,1024.63,167853
"e10222ch_100_c5.cdf","Unknown 160",1012.83,1024.23,26947
"e10222ch_100_c5.cdf","Unknown 161",1018.63,1028.03,30813
"e10222ch_100_c5.cdf","Unknown 162",1024.43,1033.83,21120
"e10222ch_100_c5.cdf","Unknown 163",1026.03,1037.83,26838
"e10222ch_100_c5.cdf","Unknown 164",1031.43,1039.63,34880
"e10222ch_100_c5.cdf","Unknown 165",1031.83,1041.23,328483
"e10222ch_100_c5.cdf","Unknown 166",1037.43,1047.03,68271
"e10222ch_100_c5.cdf","Unknown 167",1037.63,1062.03,567374
"e10222ch_100_c5.cdf","Unknown 168",1041.43,1052.43,537586
"e10222ch_100_c5.cdf","Unknown 169",1039.23,1051.63,12903800
"e10222ch_100_c5.cdf","Unknown 170",1046.43,1052.03,61945
"e10222ch_100_c5.cdf","Unknown 171",1048.83,1057.63,30632
"e10222ch_100_c5.cdf","Unknown 172",1049.83,1055.23,107161
"e10222ch_100_c5.cdf","Unknown 173",1050.03,1063.23,2345602
"e10222ch_100_c5.cdf","Unknown 174",1057.63,1065.23,29423
"e10222ch_100_c5.cdf","Unknown 175",1063.23,1070.83,10468342
"e10222ch_100_c5.cdf","Unknown 176",1063.03,1079.83,682178
"e10222ch_100_c5.cdf","Unknown 177",1065.63,1076.43,26399
"e10222ch_100_c5.cdf","Unknown 178",1069.43,1079.23,129932
"e10222ch_100_c5.cdf","Unknown 179",1069.23,1080.43,50307
"e10222ch_100_c5.cdf","Unknown 180",1080.63,1088.43,10942
"e10222ch_100_c5.cdf","Unknown 181",1082.03,1095.63,9019146
"e10222ch_100_c5.cdf","Unknown 182",1082.23,1099.63,855488
"e10222ch_100_c5.cdf","Unknown 183",1083.03,1100.83,14497939
"e10222ch_100_c5.cdf","Unknown 184",1090.63,1099.63,38709
"e10222ch_100_c5.cdf","Unknown 185",1093.63,1099.43,12387
"e10222ch_100_c5.cdf","Unknown 186",1094.03,1099.83,38769
"e10222ch_100_c5.cdf","Unknown 187",1093.63,1104.63,26719
"e10222ch_100_c5.cdf","Unknown 188",1096.63,1106.03,874257
"e10222ch_100_c5.cdf","Unknown 189",1104.43,1115.03,47708
"e10222ch_100_c5.cdf","Unknown 190",1101.23,1115.63,108432144
"e10222ch_100_c5.cdf","Unknown 191",1105.03,1110.03,11483
"e10222ch_100_c5.cdf","Unknown 192",1105.43,1116.83,246444
"e10222ch_100_c5.cdf","Unknown 193",1110.23,1115.03,290805
"e10222ch_100_c5.cdf","Unknown 194",1111.63,1117.03,19508
"e10222ch_100_c5.cdf","Unknown 195",1114.03,1120.03,78326
"e10222ch_100_c5.cdf","Unknown 196",1114.63,1135.63,25135993
"e10222ch_100_c5.cdf","Unknown 197",1114.43,1135.63,792367
"e10222ch_100_c5.cdf","Unknown 198",1110.83,1168.43,64332814
"e10222ch_100_c5.cdf","Unknown 199",1121.23,1127.63,24714
"e10222ch_100_c5.cdf","Unknown 200",1122.23,1131.23,34136
"e10222ch_100_c5.cdf","Unknown 201",1120.83,1131.03,47822
"e10222ch_100_c5.cdf","Unknown 202",1125.83,1132.43,28969
"e10222ch_100_c5.cdf","Unknown 203",1128.43,1135.83,13770
"e10222ch_100_c5.cdf","Unknown 204",1133.03,1141.63,16601
"e10222ch_100_c5.cdf","Unknown 205",1131.63,1150.43,1032232
"e10222ch_100_c5.cdf","Unknown 206",1134.23,1142.63,6809210
"e10222ch_100_c5.cdf","Unknown 207",1135.23,1144.43,25409
"e10222ch_100_c5.cdf","Unknown 208",1136.23,1144.63,347233
"e10222ch_100_c5.cdf","Unknown 209",1146.43,1152.83,109395
"e10222ch_100_c5.cdf","Unknown 210",1151.23,1161.63,23168
"e10222ch_100_c5.cdf","Unknown 211",1157.23,1161.83,5992.8
"e10222ch_100_c5.cdf","Unknown 212",1157.23,1163.63,103651
"e10222ch_100_c5.cdf","Unknown 213",1158.43,1164.23,17297
"e10222ch_100_c5.cdf","Unknown 214",1160.43,1167.03,65896
"e10222ch_100_c5.cdf","Unknown 215",1160.63,1168.43,113067
"e10222ch_100_c5.cdf","Unknown 216",1165.03,1171.03,31121
"e10222ch_100_c5.cdf","Unknown 217",1166.63,1177.63,1056904
"e10222ch_100_c5.cdf","Unknown 218",1168.43,1177.03,19488
"e10222ch_100_c5.cdf","Unknown 219",1166.83,1181.83,92291
"e10222ch_100_c5.cdf","Unknown 220",1150.03,1177.43,215374
"e10222ch_100_c5.cdf","Unknown 221",1179.23,1184.03,15658
"e10222ch_100_c5.cdf","Unknown 222",1177.63,1185.03,207390
"e10222ch_100_c5.cdf","Unknown 223",1180.03,1194.63,154789
"e10222ch_100_c5.cdf","Unknown 224",1182.43,1194.03,2333320
"e10222ch_100_c5.cdf","Unknown 225",1178.83,1191.23,121342
"e10222ch_100_c5.cdf","Unknown 226",1184.43,1200.63,702535
"e10222ch_100_c5.cdf","Unknown 227",1187.03,1192.83,15702
"e10222ch_100_c5.cdf","Unknown 228",1187.63,1200.63,49527
"e10222ch_100_c5.cdf","Unknown 229",1191.03,1196.63,16494
"e10222ch_100_c5.cdf","Unknown 230",1191.23,1200.43,15664
"e10222ch_100_c5.cdf","Unknown 231",1191.63,1205.63,206947
"e10222ch_100_c5.cdf","Unknown 232",1192.83,1200.23,12814
"e10222ch_100_c5.cdf","Unknown 233",1196.83,1204.63,34868
"e10222ch_100_c5.cdf","Unknown 234",1199.43,1204.83,24322
"e10222ch_100_c5.cdf","Unknown 235",1203.83,1219.23,36023717
"e10222ch_100_c5.cdf","Unknown 236",1204.83,1221.23,98185
"e10222ch_100_c5.cdf","Unknown 237",1211.03,1218.63,93475
"e10222ch_100_c5.cdf","Unknown 238",1211.83,1221.23,2375865
"e10222ch_100_c5.cdf","Unknown 239",1214.23,1227.63,3631527
"e10222ch_100_c5.cdf","Unknown 240",1216.43,1223.43,65046
"e10222ch_100_c5.cdf","Unknown 241",1216.83,1224.63,60221
"e10222ch_100_c5.cdf","Unknown 242",1219.43,1228.63,1839999
"e10222ch_100_c5.cdf","Unknown 243",1222.03,1228.63,1e+05
"e10222ch_100_c5.cdf","Unknown 244",1227.43,1233.03,45494
"e10222ch_100_c5.cdf","Unknown 245",1228.63,1235.83,31964
"e10222ch_100_c5.cdf","Unknown 246",1229.43,1240.43,32649
"e10222ch_100_c5.cdf","Unknown 247",1236.43,1242.83,206480
"e10222ch_100_c5.cdf","Unknown 248",1240.83,1248.43,102864
"e10222ch_100_c5.cdf","Unknown 249",1241.83,1259.03,698807
"e10222ch_100_c5.cdf","Unknown 250",1241.63,1250.03,2184622
"e10222ch_100_c5.cdf","Unknown 251",1248.83,1255.43,22641
"e10222ch_100_c5.cdf","Unknown 252",1248.83,1257.43,337911
"e10222ch_100_c5.cdf","Unknown 253",1249.23,1255.23,25688
"e10222ch_100_c5.cdf","Unknown 254",1249.23,1259.43,225011
"e10222ch_100_c5.cdf","Unknown 255",1253.63,1262.03,95881
"e10222ch_100_c5.cdf","Unknown 256",1255.63,1266.03,175712
"e10222ch_100_c5.cdf","Unknown 257",1259.63,1275.03,767300
"e10222ch_100_c5.cdf","Unknown 258",1264.83,1270.43,57461
"e10222ch_100_c5.cdf","Unknown 259",1262.03,1271.63,33760
"e10222ch_100_c5.cdf","Unknown 260",1266.43,1273.63,25783
"e10222ch_100_c5.cdf","Unknown 261",1266.43,1275.43,10578
"e10222ch_100_c5.cdf","Unknown 262",1269.63,1274.83,27104
"e10222ch_100_c5.cdf","Unknown 263",1272.23,1281.23,33793
"e10222ch_100_c5.cdf","Unknown 264",1271.43,1281.23,23284
"e10222ch_100_c5.cdf","Unknown 265",1275.43,1282.23,19090
"e10222ch_100_c5.cdf","Unknown 266",1271.23,1288.43,354225
"e10222ch_100_c5.cdf","Unknown 267",1279.83,1287.83,33439
"e10222ch_100_c5.cdf","Unknown 268",1285.83,1294.63,28538
"e10222ch_100_c5.cdf","Unknown 269",1286.03,1296.63,64090
"e10222ch_100_c5.cdf","Unknown 270",1286.63,1296.43,229916
"e10222ch_100_c5.cdf","Unknown 271",1286.23,1297.83,42339
"e10222ch_100_c5.cdf","Unknown 272",1291.63,1297.23,26496
"e10222ch_100_c5.cdf","Unknown 273",1296.83,1302.23,262995
"e10222ch_100_c5.cdf","Unknown 274",1297.23,1303.63,32717
"e10222ch_100_c5.cdf","Unknown 275",1302.03,1317.63,6632943
"e10222ch_100_c5.cdf","Unknown 276",1303.03,1312.03,30513
"e10222ch_100_c5.cdf","Unknown 277",1312.03,1317.83,25856
"e10222ch_100_c5.cdf","Unknown 278",1312.63,1321.83,114085
"e10222ch_100_c5.cdf","Unknown 279",1316.43,1326.63,568398
"e10222ch_100_c5.cdf","Unknown 280",1315.43,1329.03,33057
"e10222ch_100_c5.cdf","Unknown 281",1319.83,1325.03,17000
"e10222ch_100_c5.cdf","Unknown 282",1317.43,1329.23,123306
"e10222ch_100_c5.cdf","Unknown 283",1322.63,1329.83,54352
"e10222ch_100_c5.cdf","Unknown 284",1321.83,1330.63,105481
"e10222ch_100_c5.cdf","Unknown 285",1326.43,1331.83,17890
"e10222ch_100_c5.cdf","Unknown 286",1329.03,1335.83,23813
"e10222ch_100_c5.cdf","Unknown 287",1329.43,1335.43,48080
"e10222ch_100_c5.cdf","Unknown 288",1331.23,1336.23,92419
"e10222ch_100_c5.cdf","Unknown 289",1333.03,1346.83,401298
"e10222ch_100_c5.cdf","Unknown 290",1335.03,1341.03,112522
"e10222ch_100_c5.cdf","Unknown 291",1336.63,1344.63,58211
"e10222ch_100_c5.cdf","Unknown 292",1339.63,1352.03,459138
"e10222ch_100_c5.cdf","Unknown 293",1340.83,1352.03,89181
"e10222ch_100_c5.cdf","Unknown 294",1343.23,1352.43,211755
"e10222ch_100_c5.cdf","Unknown 295",1345.23,1354.83,99452
"e10222ch_100_c5.cdf","Unknown 296",1344.03,1353.83,28796
"e10222ch_100_c5.cdf","Unknown 297",1349.83,1358.03,22526
"e10222ch_100_c5.cdf","Unknown 298",1354.23,1364.43,14696
"e10222ch_100_c5.cdf","Unknown 299",1356.43,1362.83,12335
"e10222ch_100_c5.cdf","Unknown 300",1356.83,1364.43,51711
"e10222ch_100_c5.cdf","Unknown 301",1356.03,1365.43,37706
