file,metabolite,quantMasses,intensity,rt,ri
e18057cz_3_IdentA.cdf,c10,71;85;99,1.71487749E8,410.0,1000.0
e18057cz_3_IdentA.cdf,c12,71;85;99,1.188363E8,711.4,1200.0
e18057cz_3_IdentA.cdf,c15,71;85;99,1.70362854E8,1114.6,1500.0
e18057cz_3_IdentA.cdf,c17,71;85;99,1.85407885E8,1322.4,1700.0
e18057cz_3_IdentA.cdf,c19,71;85;99,1.74946845E8,1499.2,1900.0
e18057cz_3_IdentA.cdf,c22,71;85;99,1.70745778E8,1682.8,2200.0
e18057cz_3_IdentA.cdf,c28,71;85;99,1.40390745E8,1933.6,2800.0
e18057cz_3_IdentA.cdf,c32,71;85;99,1.16625829E8,2068.0,3200.0
e18057cz_3_IdentA.cdf,c36,71;85;99,1.01375708E8,2252.0,3600.0
e18057cz_4_IdentB.cdf,c10,71;85;99,1.53756091E8,409.6,1000.0
e18057cz_4_IdentB.cdf,c12,71;85;99,1.1451798E8,711.2,1200.0
e18057cz_4_IdentB.cdf,c15,71;85;99,2.02323565E8,1114.6,1500.0
e18057cz_4_IdentB.cdf,c17,71;85;99,1.91622703E8,1322.4,1700.0
e18057cz_4_IdentB.cdf,c19,71;85;99,1.86720758E8,1499.2,1900.0
e18057cz_4_IdentB.cdf,c22,71;85;99,1.72087041E8,1682.8,2200.0
e18057cz_4_IdentB.cdf,c28,71;85;99,1.40364364E8,1933.4,2800.0
e18057cz_4_IdentB.cdf,c32,71;85;99,1.16399316E8,2068.0,3200.0
e18057cz_4_IdentB.cdf,c36,71;85;99,1.01563207E8,2252.0,3600.0
e18057cz_5_IdentC.cdf,c10,71;85;99,1.52563384E8,409.8,1000.0
e18057cz_5_IdentC.cdf,c12,71;85;99,1.1332841E8,711.2,1200.0
e18057cz_5_IdentC.cdf,c15,71;85;99,1.97660052E8,1114.6,1500.0
e18057cz_5_IdentC.cdf,c17,71;85;99,1.86103835E8,1322.4,1700.0
e18057cz_5_IdentC.cdf,c19,71;85;99,1.71776587E8,1499.2,1900.0
e18057cz_5_IdentC.cdf,c22,71;85;99,1.65661079E8,1682.8,2200.0
e18057cz_5_IdentC.cdf,c28,71;85;99,1.36256036E8,1933.6,2800.0
e18057cz_5_IdentC.cdf,c32,71;85;99,1.13296786E8,2068.0,3200.0
e18057cz_5_IdentC.cdf,c36,71;85;99,9.7949754E7,2251.8,3600.0
e18057cz_6_IdentD.cdf,c10,71;85;99,1.57397508E8,409.8,1000.0
e18057cz_6_IdentD.cdf,c12,71;85;99,1.15749652E8,711.2,1200.0
e18057cz_6_IdentD.cdf,c15,71;85;99,1.6535164E8,1114.6,1500.0
e18057cz_6_IdentD.cdf,c17,71;85;99,1.80205045E8,1322.4,1700.0
e18057cz_6_IdentD.cdf,c19,71;85;99,1.73266836E8,1499.4,1900.0
e18057cz_6_IdentD.cdf,c22,71;85;99,1.6418075E8,1683.0,2200.0
e18057cz_6_IdentD.cdf,c28,71;85;99,1.33756256E8,1933.6,2800.0
e18057cz_6_IdentD.cdf,c32,71;85;99,1.11827633E8,2068.0,3200.0
e18057cz_6_IdentD.cdf,c36,71;85;99,9.7503358E7,2252.0,3600.0
e18060cz_10_Quant1_2.cdf,c10,71;85;99,1.76024422E8,409.0,1000.0
e18060cz_10_Quant1_2.cdf,c12,71;85;99,1.54690223E8,710.8,1200.0
e18060cz_10_Quant1_2.cdf,c15,71;85;99,2.73948425E8,1114.4,1500.0
e18060cz_10_Quant1_2.cdf,c17,71;85;99,3.0486539E8,1322.2,1700.0
e18060cz_10_Quant1_2.cdf,c19,71;85;99,3.00586491E8,1499.2,1900.0
e18060cz_10_Quant1_2.cdf,c22,71;85;99,2.84036792E8,1682.8,2200.0
e18060cz_10_Quant1_2.cdf,c28,71;85;99,2.29833052E8,1933.2,2800.0
e18060cz_10_Quant1_2.cdf,c32,71;85;99,1.94347227E8,2067.6,3200.0
e18060cz_10_Quant1_2.cdf,c36,71;85;99,1.73926513E8,2251.0,3600.0
e18060cz_11_Quant1_1.cdf,c10,71;85;99,1.83922133E8,408.6,1000.0
e18060cz_11_Quant1_1.cdf,c12,71;85;99,1.66693983E8,710.8,1200.0
e18060cz_11_Quant1_1.cdf,c15,71;85;99,2.96439357E8,1114.8,1500.0
e18060cz_11_Quant1_1.cdf,c17,71;85;99,3.25223806E8,1322.2,1700.0
e18060cz_11_Quant1_1.cdf,c19,71;85;99,3.1187771E8,1499.2,1900.0
e18060cz_11_Quant1_1.cdf,c22,71;85;99,2.66233966E8,1682.6,2200.0
e18060cz_11_Quant1_1.cdf,c28,71;85;99,2.23855865E8,1933.2,2800.0
e18060cz_11_Quant1_1.cdf,c32,71;85;99,2.15014129E8,2067.6,3200.0
e18060cz_11_Quant1_1.cdf,c36,71;85;99,1.98680905E8,2250.8,3600.0
e18060cz_4_Quant1_200.cdf,c10,71;85;99,1.55433477E8,408.4,1000.0
e18060cz_4_Quant1_200.cdf,c12,71;85;99,1.13860974E8,710.8,1200.0
e18060cz_4_Quant1_200.cdf,c15,71;85;99,1.84719792E8,1114.2,1500.0
e18060cz_4_Quant1_200.cdf,c17,71;85;99,1.74017386E8,1322.0,1700.0
e18060cz_4_Quant1_200.cdf,c19,71;85;99,1.73630432E8,1499.0,1900.0
e18060cz_4_Quant1_200.cdf,c22,71;85;99,1.80315859E8,1682.6,2200.0
e18060cz_4_Quant1_200.cdf,c28,71;85;99,1.35790566E8,1933.2,2800.0
e18060cz_4_Quant1_200.cdf,c32,71;85;99,1.15940857E8,2067.4,3200.0
e18060cz_4_Quant1_200.cdf,c36,71;85;99,1.12941727E8,2250.6,3600.0
e18060cz_5_Quant1_100.cdf,c10,71;85;99,1.73172447E8,408.4,1000.0
e18060cz_5_Quant1_100.cdf,c12,71;85;99,1.31031535E8,710.8,1200.0
e18060cz_5_Quant1_100.cdf,c15,71;85;99,2.07410527E8,1114.4,1500.0
e18060cz_5_Quant1_100.cdf,c17,71;85;99,1.75401231E8,1322.2,1700.0
e18060cz_5_Quant1_100.cdf,c19,71;85;99,1.8737033E8,1499.0,1900.0
e18060cz_5_Quant1_100.cdf,c22,71;85;99,2.07300242E8,1682.8,2200.0
e18060cz_5_Quant1_100.cdf,c28,71;85;99,1.52129955E8,1933.2,2800.0
e18060cz_5_Quant1_100.cdf,c32,71;85;99,1.27964985E8,2067.4,3200.0
e18060cz_5_Quant1_100.cdf,c36,71;85;99,1.17140714E8,2250.8,3600.0
e18060cz_6_Quant1_50.cdf,c10,71;85;99,1.74100951E8,408.8,1000.0
e18060cz_6_Quant1_50.cdf,c12,71;85;99,1.34151469E8,710.8,1200.0
e18060cz_6_Quant1_50.cdf,c15,71;85;99,2.20206031E8,1114.4,1500.0
e18060cz_6_Quant1_50.cdf,c17,71;85;99,1.98280146E8,1322.2,1700.0
e18060cz_6_Quant1_50.cdf,c19,71;85;99,2.07125459E8,1499.0,1900.0
e18060cz_6_Quant1_50.cdf,c22,71;85;99,2.21005445E8,1682.6,2200.0
e18060cz_6_Quant1_50.cdf,c28,71;85;99,1.59665075E8,1933.0,2800.0
e18060cz_6_Quant1_50.cdf,c32,71;85;99,1.33050284E8,2067.4,3200.0
e18060cz_6_Quant1_50.cdf,c36,71;85;99,1.23559752E8,2250.6,3600.0
e18060cz_7_Quant1_20.cdf,c10,71;85;99,1.74866151E8,408.8,1000.0
e18060cz_7_Quant1_20.cdf,c12,71;85;99,1.47002736E8,710.8,1200.0
e18060cz_7_Quant1_20.cdf,c15,71;85;99,2.20971512E8,1114.2,1500.0
e18060cz_7_Quant1_20.cdf,c17,71;85;99,2.05935675E8,1322.0,1700.0
e18060cz_7_Quant1_20.cdf,c19,71;85;99,2.18586491E8,1499.0,1900.0
