file,metabolite,start,end,Area
e18057cz_3_IdentA.cdf,Unknown 1,375.0,377.8,1702245.0
e18057cz_3_IdentA.cdf,Unknown 2,375.0,379.4,602392.0
e18057cz_3_IdentA.cdf,Unknown 3,375.0,380.8,7735622.0
e18057cz_3_IdentA.cdf,Unknown 4,378.6,383.2,295860.0
e18057cz_3_IdentA.cdf,Unknown 5,380.8,386.2,7401861.0
e18057cz_3_IdentA.cdf,Unknown 6,387.4,389.8,198206.0
e18057cz_3_IdentA.cdf,Unknown 7,386.2,394.6,195267.0
e18057cz_3_IdentA.cdf,Unknown 8,389.4,395.0,1200242.0
e18057cz_3_IdentA.cdf,Unknown 9,397.8,403.8,1651502.0
e18057cz_3_IdentA.cdf,Unknown 10,403.6,409.4,2882067.0
e18057cz_3_IdentA.cdf,Unknown 11,404.2,415.2,1.0028139E8
e18057cz_3_IdentA.cdf,Unknown 12,408.6,418.4,4136521.0
e18057cz_3_IdentA.cdf,Unknown 13,409.2,417.6,2204249.0
e18057cz_3_IdentA.cdf,Unknown 14,414.6,421.4,294507.0
e18057cz_3_IdentA.cdf,Unknown 15,415.2,421.4,1406598.0
e18057cz_3_IdentA.cdf,Unknown 16,416.6,423.6,324511.0
e18057cz_3_IdentA.cdf,Unknown 17,421.4,428.4,1565795.0
e18057cz_3_IdentA.cdf,Unknown 18,424.8,428.4,135960.0
e18057cz_3_IdentA.cdf,Unknown 19,425.8,436.8,616145.0
e18057cz_3_IdentA.cdf,Unknown 20,436.0,441.8,720019.0
e18057cz_3_IdentA.cdf,Unknown 21,439.8,445.8,1335334.0
e18057cz_3_IdentA.cdf,Unknown 22,439.6,446.0,419740.0
e18057cz_3_IdentA.cdf,Unknown 23,444.0,454.8,929361.0
e18057cz_3_IdentA.cdf,Unknown 24,449.8,462.0,1060383.0
e18057cz_3_IdentA.cdf,Unknown 25,450.2,461.2,1777712.0
e18057cz_3_IdentA.cdf,Unknown 26,439.8,461.8,1.5481755E7
e18057cz_3_IdentA.cdf,Unknown 27,452.6,462.2,677691.0
e18057cz_3_IdentA.cdf,Unknown 28,455.2,461.6,418281.0
e18057cz_3_IdentA.cdf,Unknown 29,467.0,479.6,3677169.0
e18057cz_3_IdentA.cdf,Unknown 30,469.4,483.8,1923060.0
e18057cz_3_IdentA.cdf,Unknown 31,469.2,478.0,184474.0
e18057cz_3_IdentA.cdf,Unknown 32,478.0,482.4,230536.0
e18057cz_3_IdentA.cdf,Unknown 33,482.0,491.8,1.35254552E8
e18057cz_3_IdentA.cdf,Unknown 34,490.2,498.8,2460186.0
e18057cz_3_IdentA.cdf,Unknown 35,489.0,507.8,1.64728989E8
e18057cz_3_IdentA.cdf,Unknown 36,500.4,508.0,496940.0
e18057cz_3_IdentA.cdf,Unknown 37,505.0,516.6,1084095.0
e18057cz_3_IdentA.cdf,Unknown 38,508.2,515.4,103416.0
e18057cz_3_IdentA.cdf,Unknown 39,513.4,521.8,91710.0
e18057cz_3_IdentA.cdf,Unknown 40,513.6,521.4,91448.0
e18057cz_3_IdentA.cdf,Unknown 41,515.2,519.8,303107.0
e18057cz_3_IdentA.cdf,Unknown 42,521.4,528.8,192108.0
