oxygen;glucose;Extract_vol;Unit
4;g1;1440000;count
4;g2;2115000;count
4;g3;2610000;count
4;g4;3015000;count
4;g5;2835000;count
4;g6;2880000;count
4;g7;2745000;count
9;g1;2160000;count
9;g2;2655000;count
9;g3;3555000;count
9;g4;3780000;count
9;g5;4365000;count
9;g6;3960000;count
9;g7;3645000;count
21;g1;2790000;count
21;g2;3195000;count
21;g3;3375000;count
21;g4;4185000;count
21;g5;4050000;count
21;g6;4365000;count
21;g7;3600000;count
