File,Metabolite,QuantMasses,,Peakarea
e18061cz_20.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,8612026
e18061cz_21.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,9483771
e18061cz_22.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,8105280
e18061cz_23.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,7650643
e18061cz_25.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,6619265
e18061cz_26.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,7461658
e18061cz_27.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,7425307
e18061cz_28.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,6699930
e18061cz_29.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,5693109
e18061cz_31.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,777382
e18061cz_32.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,76310519
e18061cz_33.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,63961713
e18061cz_34.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,74447014
e18061cz_35.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,67559183
e18061cz_36.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,58468550
e18061cz_38.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,28601447
e18061cz_39.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,44916936
e18061cz_40.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,41716218
e18061cz_41.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,60943634
e18061cz_42.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,51113520
e18061cz_44.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,5169899
e18061cz_45.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,4889345
e18061cz_46.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,6432604
e18061cz_47.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,5583683
e18061cz_48.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,5239358
e18061cz_50.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,3567129
e18061cz_51.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,6987641
e18061cz_52.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,6530726
e18061cz_53.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,6205033
e18061cz_54.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,6022311
