file,metabolite,quantMasses,intensity,rt,ri
e18061cz_8_wash.cdf,c10,71;85;99,1.24061183E8,408.0,1000.0
e18061cz_8_wash.cdf,c12,71;85;99,9.1628608E7,710.4,1200.0
e18061cz_8_wash.cdf,c15,71;85;99,1.20169192E8,1114.0,1500.0
e18061cz_8_wash.cdf,c17,71;85;99,8.7187008E7,1321.8,1700.0
e18061cz_8_wash.cdf,c19,71;85;99,9.4995103E7,1498.6,1900.0
e18061cz_8_wash.cdf,c22,71;85;99,1.06946747E8,1682.4,2200.0
e18061cz_8_wash.cdf,c28,71;85;99,8.8305855E7,1933.0,2800.0
e18061cz_8_wash.cdf,c32,71;85;99,7.4565511E7,2067.2,3200.0
e18061cz_8_wash.cdf,c36,71;85;99,5.8107534E7,2250.4,3600.0
e18061cz_10_Quant1_100.cdf,c10,71;85;99,1.59329065E8,408.4,1000.0
e18061cz_10_Quant1_100.cdf,c12,71;85;99,1.17317752E8,710.6,1200.0
e18061cz_10_Quant1_100.cdf,c15,71;85;99,1.70152899E8,1114.0,1500.0
e18061cz_10_Quant1_100.cdf,c17,71;85;99,1.49929146E8,1321.8,1700.0
e18061cz_10_Quant1_100.cdf,c19,71;85;99,1.48809598E8,1498.8,1900.0
e18061cz_10_Quant1_100.cdf,c22,71;85;99,1.54042527E8,1682.4,2200.0
e18061cz_10_Quant1_100.cdf,c28,71;85;99,1.16068215E8,1932.8,2800.0
e18061cz_10_Quant1_100.cdf,c32,71;85;99,9.5651769E7,2067.0,3200.0
e18061cz_10_Quant1_100.cdf,c36,71;85;99,6.9389923E7,2250.4,3600.0
e18061cz_11_Quant1_50.cdf,c10,71;85;99,1.57148631E8,408.4,1000.0
e18061cz_11_Quant1_50.cdf,c12,71;85;99,1.14830993E8,710.8,1200.0
e18061cz_11_Quant1_50.cdf,c15,71;85;99,1.67308085E8,1114.0,1500.0
e18061cz_11_Quant1_50.cdf,c17,71;85;99,1.50088452E8,1321.8,1700.0
e18061cz_11_Quant1_50.cdf,c19,71;85;99,1.49161018E8,1498.8,1900.0
e18061cz_11_Quant1_50.cdf,c22,71;85;99,1.51751502E8,1682.4,2200.0
e18061cz_11_Quant1_50.cdf,c28,71;85;99,1.13097929E8,1933.0,2800.0
e18061cz_11_Quant1_50.cdf,c32,71;85;99,8.651068E7,2067.2,3200.0
e18061cz_11_Quant1_50.cdf,c36,71;85;99,6.6556059E7,2250.2,3600.0
e18061cz_12_Quant1_20.cdf,c10,71;85;99,1.56097845E8,408.0,1000.0
e18061cz_12_Quant1_20.cdf,c12,71;85;99,1.158851E8,710.8,1200.0
e18061cz_12_Quant1_20.cdf,c15,71;85;99,1.70518993E8,1114.0,1500.0
e18061cz_12_Quant1_20.cdf,c17,71;85;99,1.53767251E8,1321.8,1700.0
e18061cz_12_Quant1_20.cdf,c19,71;85;99,1.5884647E8,1498.8,1900.0
