Metabolite,e18061cz_18.cdf,e18061cz_19.cdf,e18061cz_20.cdf,e18061cz_21.cdf,e18061cz_22.cdf,e18061cz_23.cdf,e18061cz_25.cdf,e18061cz_26.cdf,e18061cz_27.cdf,e18061cz_28.cdf,e18061cz_29.cdf,e18061cz_31.cdf,e18061cz_32.cdf,e18061cz_33.cdf,e18061cz_34.cdf,e18061cz_35.cdf,e18061cz_36.cdf,e18061cz_38.cdf,e18061cz_39.cdf,e18061cz_40.cdf,e18061cz_41.cdf,e18061cz_42.cdf,e18061cz_44.cdf,e18061cz_45.cdf,e18061cz_46.cdf,e18061cz_47.cdf,e18061cz_48.cdf,e18061cz_50.cdf,e18061cz_51.cdf,e18061cz_52.cdf,e18061cz_53.cdf,e18061cz_54.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,0.003936582663141419,0.10382599125034836,0.13150208847716943,0.14199715535380777,0.13069245357677794,0.1502873642368067,0.1629376101563432,0.19379393428430713,0.1988657508892553,0.18187839752364401,0.1820914678876587,0.0032434091864930454,0.27425391659883175,NA,0.28754275906221705,0.2936283994136464,NA,NA,0.2438637249436111,0.24035910122597406,0.26590902022272306,0.28014743376168655,NA,NA,0.19887712950170747,NA,NA,0.1772573656154239,0.23842116129910745,NA,0.20560473804805715,0.2396730822567225,174.0 175.0 176.0 177.0 178.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,6.612877561464771E-4,0.035102261247780216,0.042561971652209124,0.047636536157795555,0.04035251711279885,0.04924220147251234,0.08173459303132274,0.0921267513305319,0.09232700478076616,0.06587859214227824,0.06561717745783151,4.4714116842896773E-4,0.16346779275810475,0.16836250645517234,0.17278055741151638,0.13987969360108682,0.13758057787632755,0.15445895546587549,0.15925720591587977,0.1608666353084061,0.129659380197857,0.13308420227990211,0.0725068063188619,0.08478172734001886,0.09341943268496723,0.060934470405570776,0.08171000514187483,0.1134641271907356,0.12803395413744023,0.13808820302006988,0.0853636095826904,0.0951941727600429,219.0 220.0 221.0 222.0 223.0 224.0 
Serine_(2TMS)_BP_RI:1260_IDENT:C+D,-2.445756129269981E-4,-0.009298336996994701,-0.00974260768055692,-0.0032102650885904066,-0.003466195611424393,0.002204808893840857,-2.4101203909557357E-4,-0.005449095479632342,-0.007481512724210733,-7.374231134418968E-4,-0.007018994234165608,-0.006282391955568745,1.7732907703943955E-4,-0.0024527654117477778,-0.0015139845951897188,-0.003458448054256633,0.006136403925461106,0.018789190810975957,NA,NA,-0.003610921722975612,-0.004386355782156817,0.0022291394638203886,0.004146752871446527,-0.011593087495320174,NA,-0.0019621112884441465,0.0055816045345718655,-0.0036337861097343075,0.0018794305317749007,0.0019227715823767505,4.367292490711903E-4,116.0 117.0 118.0 119.0 120.0 
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D,0.0857168638730748,0.12191889194271888,0.11956031296903923,0.13374356771663815,0.0713615252051732,0.08736113136676624,0.11892128656640308,0.14434964029124223,0.12298992740842328,0.06884291923770036,0.05198241751930821,0.02918986086282664,0.22881513426757483,0.15535442772009664,0.14680810965614627,0.09411049231464627,0.08238706873193284,0.09993120020504626,0.15013073875953337,0.12137803950719639,0.055933232503876655,0.05137526750976484,0.18306860667545663,0.20601535240371663,0.15808258391182545,0.08769514483305292,0.08985973150757295,0.16794470101170544,0.16402856734905097,0.22139919350322493,0.08220843903302984,0.06349880434881243,218.0 219.0 220.0 221.0 222.0 
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C,0.014504056767537526,-0.0012964712873876874,5.878173497757402E-4,0.003989587522407622,0.003356059971001804,0.003867156439264608,0.003746659166544885,0.005591326897464104,0.0012326712532562559,0.007939758512657803,0.008006897467241179,0.011056621750319306,0.002983408956006945,0.00592667513258335,0.002805543160126094,0.0017225014940063978,0.0019492975345510506,-0.010564347836112573,0.0057088899642115725,-0.0027492215831228036,0.014091198308908539,0.012955173131237186,-0.002143757501645279,0.007434820953300646,0.004379825871362502,0.002295110968746189,-0.0033970254875366666,0.0066815449487425465,7.253760911612186E-4,-0.0038164391916301844,0.01054658118897887,0.010241732267239552,276.0 277.0 278.0 
Succinic acid 249_(2TMS)_MP_RI:1327_IDENT:A+D,0.0026300606167387465,0.012894274181731282,0.011699136701828365,0.013724979310736175,0.008881554278168235,0.012194878506793457,0.009558161912158053,0.01123038387338533,0.012326889248746859,0.005483896254997394,3.0112062111783196E-4,0.0013393575442437766,0.015042289779240117,0.014117654817949347,0.013396519661524118,0.013115228720324262,0.01855807007766542,9.515684011823624E-4,0.00412818497589748,-0.0025001395587184684,0.0061881584151353,0.001310087417606838,0.013880287546668426,0.018506511971790936,0.018546461133983817,0.016340274806492826,0.012564916774934856,0.021461967392854883,0.0123655094204249,0.004962864721485411,0.008911648220626237,0.011678858959183996,247.0 248.0 249.0 250.0 251.0 252.0 
Fumaric acid 247_(2TMS)_MP_RI:1366_IDENT:A+C,0.0032205548320583138,0.04001076949462012,0.03461382367632368,0.04203306109877419,0.029428008987138377,0.04345251789477282,0.02838783463691996,0.028161319729961224,0.03303556612048473,0.022194213145538516,0.026981970830962886,0.006592333687733933,0.008452829536763812,0.008396468885649091,0.017757170937345076,0.008346986584910406,0.028025187019684938,0.009295739289922809,0.0069785906051386005,0.009287932146662087,0.034772566731596635,0.010109464343751044,0.0806237142742425,0.07728225675796581,0.0866686026920348,0.06723223672533143,0.07122439657386218,0.06875417431022128,0.07030890354988457,0.08272869675507016,0.05156298077978643,0.04365052448575418,245.0 246.0 247.0 248.0 249.0 250.0 
Serine_(3TMS)_MP_RI:1373_IDENT:C+D,9.154243736222097E-5,7.046218754610189E-4,5.135646033000039E-4,0.0011036085725777097,-0.0022452383616336845,4.664397514239144E-4,0.001340636915809048,0.0015153166004733345,0.0016861787646119937,-0.0030662550220992464,6.464777048280076E-4,-3.89021914968072E-4,-0.004431687577638821,3.1515821380052525E-4,8.00035429791056E-4,1.7530205444594527E-4,7.660923408706015E-4,0.0025949655724926144,0.001894203463884755,0.0021271525725444457,-0.0013145751703351675,-0.0017450007102225446,0.0015734714782221803,-0.004523933748351324,0.0016016543113649153,0.0015007250449534306,8.653418109590042E-4,0.0015737643249497822,0.0020713206181048036,0.002035742815887462,0.0011953047368925146,-0.001773686870089707,204.0 205.0 206.0 207.0 208.0 
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B,0.03687285399477271,0.03402989659770853,0.03490873835059071,0.019301251574396622,0.26428149024246006,0.03213316073453771,0.0071051368218915025,0.0321306120488294,0.04452331349542959,0.1776295614842073,0.1308491634715929,0.08481440141953579,0.04997027330896333,0.01723956635576913,0.029154799184495293,0.02275165298121745,0.07862405416168856,0.06592540524421156,0.03501388809156867,0.006275536261491317,0.19082448979591837,0.10243120995099887,0.03072180415875472,0.08939648716245814,0.033755418976019316,0.06680998842401191,0.31856512991738367,0.04270051933064051,0.037633603504108715,0.0685818548015961,0.07597331012474616,0.5632770349519118,261.0 262.0 263.0 264.0 265.0 266.0 267.0 
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,0.34477289020967516,0.3423325547286653,0.30357702186305835,0.31575929319530577,0.347819801900048,0.3486804214520446,0.33165266606380783,0.34068725692061314,0.34306191201670033,0.3484760372748292,0.35275884027569676,0.40223534204290523,0.5328681702057523,0.3614104109507998,0.3878480590778498,0.5841391129349245,0.39912378780672936,0.5247268821685916,0.44211244489398654,0.4222969167127322,0.3333922255859779,0.3394200975634471,0.34514539395360716,0.4759852772549636,0.32849854172094634,0.36053732006068906,0.4723303706812999,0.39822396546905,0.30313672569284444,0.36292606361922586,0.3878660826649405,0.31644376523241435,188.0 189.0 190.0 191.0 
