File,Metabolite,Mass(m/z),SamplePeakArea,SampleMID,ReferencePeakArea,ReferenceMID,BackupPeakArea,BackupMID,UsedMID
e18061cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,377654,0.8673147631416374,1078938,0.7842749292367455,294838,0.8339,quant
e18061cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,43325,0.09949957398335894,147872,0.10748745742210954,45490,0.12869999999999998,quant
e18061cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,14450,0.033185662875003734,69659,0.05063479763962568,12524,0.0354,quant
e18061cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,0,0.0,59942,0.0435715562973118,696,0.002,quant
e18061cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,0,0.0,19303,0.01403125940420756,0,0.0,quant
e18061cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,257842,0.7785225577758051,3348916,0.835151352223506,294838,0.8339,quant
e18061cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,29264,0.08835908863083268,398613,0.09940595284082025,45490,0.12869999999999998,quant
e18061cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,12132,0.03663109838946358,155716,0.038832394710060045,12524,0.0354,quant
e18061cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,29886,0.09023714197720974,84594,0.021096018380274473,696,0.002,quant
e18061cz_19.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,2070,0.006250113226688889,22112,0.005514281845339257,0,0.0,quant
e18061cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,225149,0.7538184934946665,1078938,0.7842749292367455,294838,0.8339,quant
e18061cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,26516,0.08877788119647245,147872,0.10748745742210954,45490,0.12869999999999998,quant
e18061cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,11867,0.03973175125051058,69659,0.05063479763962568,12524,0.0354,quant
e18061cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,33256,0.11134398917898204,59942,0.0435715562973118,696,0.002,quant
e18061cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,1890,0.006327884879368416,19303,0.01403125940420756,0,0.0,quant
e18061cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,306222,0.7507778156435949,3348916,0.835151352223506,294838,0.8339,quant
e18061cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,34951,0.08569088907576623,398613,0.09940595284082025,45490,0.12869999999999998,quant
