file,metabolite,start,end,Area
e18061cz_8_wash.cdf,Unknown 1,375.0,378.2,2492912.0
e18061cz_8_wash.cdf,Unknown 2,375.0,378.8,1.3449054E7
e18061cz_8_wash.cdf,Unknown 3,381.0,384.8,1957012.0
e18061cz_8_wash.cdf,Unknown 4,390.8,401.0,6623728.0
e18061cz_8_wash.cdf,Unknown 5,396.6,406.6,513802.0
e18061cz_8_wash.cdf,Unknown 6,403.4,413.6,7.1701699E7
e18061cz_8_wash.cdf,Unknown 7,413.6,420.0,983075.0
e18061cz_8_wash.cdf,Unknown 8,420.0,426.6,1048336.0
e18061cz_8_wash.cdf,Unknown 9,422.6,441.6,6774028.0
e18061cz_8_wash.cdf,Unknown 10,434.4,441.6,468773.0
e18061cz_8_wash.cdf,Unknown 11,442.0,449.6,546142.0
e18061cz_8_wash.cdf,Unknown 12,451.0,459.8,4440511.0
e18061cz_8_wash.cdf,Unknown 13,455.2,465.6,203749.0
e18061cz_8_wash.cdf,Unknown 14,468.2,475.6,2309185.0
e18061cz_8_wash.cdf,Unknown 15,469.4,477.0,354882.0
e18061cz_8_wash.cdf,Unknown 16,475.6,491.2,443264.0
e18061cz_8_wash.cdf,Unknown 17,477.0,489.0,3936571.0
e18061cz_8_wash.cdf,Unknown 18,481.8,498.8,4528389.0
e18061cz_8_wash.cdf,Unknown 19,489.0,496.0,1418100.0
e18061cz_8_wash.cdf,Unknown 20,499.8,506.0,304270.0
e18061cz_8_wash.cdf,Unknown 21,505.2,515.6,167059.0
e18061cz_8_wash.cdf,Unknown 22,506.0,518.8,1856465.0
e18061cz_8_wash.cdf,Unknown 23,529.2,548.0,751516.0
e18061cz_8_wash.cdf,Unknown 24,538.6,545.2,249930.0
e18061cz_8_wash.cdf,Unknown 25,546.2,555.4,2444478.0
e18061cz_8_wash.cdf,Unknown 26,548.6,556.0,358590.0
e18061cz_8_wash.cdf,Unknown 27,555.6,562.8,926511.0
e18061cz_8_wash.cdf,Unknown 28,559.4,571.0,3.0674737E7
e18061cz_8_wash.cdf,Unknown 29,569.2,578.2,485456.0
e18061cz_8_wash.cdf,Unknown 30,592.8,600.4,231772.0
e18061cz_8_wash.cdf,Unknown 31,603.0,626.2,3717993.0
e18061cz_8_wash.cdf,Unknown 32,606.6,626.2,520266.0
e18061cz_8_wash.cdf,Unknown 33,608.4,620.8,2228168.0
e18061cz_8_wash.cdf,Unknown 34,610.2,618.4,156584.0
e18061cz_8_wash.cdf,Unknown 35,628.6,648.8,692289.0
e18061cz_8_wash.cdf,Unknown 36,642.8,657.8,727051.0
e18061cz_8_wash.cdf,Unknown 37,672.6,679.6,279307.0
e18061cz_8_wash.cdf,Unknown 38,688.6,706.8,1110840.0
e18061cz_8_wash.cdf,Unknown 39,701.0,709.0,1313165.0
e18061cz_8_wash.cdf,Unknown 40,706.0,718.2,5.6931566E7
e18061cz_8_wash.cdf,Unknown 41,735.0,747.4,426306.0
e18061cz_8_wash.cdf,Unknown 42,742.6,750.4,437739.0
e18061cz_8_wash.cdf,Unknown 43,763.6,798.6,1.13111482E8
e18061cz_8_wash.cdf,Unknown 44,779.8,786.2,477854.0
e18061cz_8_wash.cdf,Unknown 45,786.6,793.8,385351.0
e18061cz_8_wash.cdf,Unknown 46,805.8,811.8,144254.0
e18061cz_8_wash.cdf,Unknown 47,800.4,820.2,1370951.0
e18061cz_8_wash.cdf,Unknown 48,813.4,821.2,1261026.0
e18061cz_8_wash.cdf,Unknown 49,816.8,825.2,223451.0
e18061cz_8_wash.cdf,Unknown 50,819.8,828.4,2390504.0
e18061cz_8_wash.cdf,Unknown 51,833.4,839.4,485789.0
e18061cz_8_wash.cdf,Unknown 52,842.6,847.8,430134.0
e18061cz_8_wash.cdf,Unknown 53,851.8,858.6,512494.0
e18061cz_8_wash.cdf,Unknown 54,857.2,866.0,114813.0
